reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2023-12-16,wk inc flu hosp,0,2023-12-16,06,quantile,0.01,877.5732053653
2023-12-16,wk inc flu hosp,0,2023-12-16,06,quantile,0.025,894.193646188221
2023-12-16,wk inc flu hosp,0,2023-12-16,06,quantile,0.05,908.520570555379
2023-12-16,wk inc flu hosp,0,2023-12-16,06,quantile,0.1,925.205364316796
2023-12-16,wk inc flu hosp,0,2023-12-16,06,quantile,0.15,936.350929737578
2023-12-16,wk inc flu hosp,0,2023-12-16,06,quantile,0.2,945.193382515291
2023-12-16,wk inc flu hosp,0,2023-12-16,06,quantile,0.25,952.907031280848
2023-12-16,wk inc flu hosp,0,2023-12-16,06,quantile,0.3,959.782348550217
2023-12-16,wk inc flu hosp,0,2023-12-16,06,quantile,0.35,966.212881599822
2023-12-16,wk inc flu hosp,0,2023-12-16,06,quantile,0.4,972.265714487156
2023-12-16,wk inc flu hosp,0,2023-12-16,06,quantile,0.45,978.021178666282
2023-12-16,wk inc flu hosp,0,2023-12-16,06,quantile,0.5,983.85278695919
2023-12-16,wk inc flu hosp,0,2023-12-16,06,quantile,0.55,989.668265991501
2023-12-16,wk inc flu hosp,0,2023-12-16,06,quantile,0.6,995.456695281738
2023-12-16,wk inc flu hosp,0,2023-12-16,06,quantile,0.65,1001.50981619022
2023-12-16,wk inc flu hosp,0,2023-12-16,06,quantile,0.7,1007.73655398293
2023-12-16,wk inc flu hosp,0,2023-12-16,06,quantile,0.75,1014.51504624424
2023-12-16,wk inc flu hosp,0,2023-12-16,06,quantile,0.8,1022.11121848964
2023-12-16,wk inc flu hosp,0,2023-12-16,06,quantile,0.85,1031.0209231786
2023-12-16,wk inc flu hosp,0,2023-12-16,06,quantile,0.9,1042.18036525132
2023-12-16,wk inc flu hosp,0,2023-12-16,06,quantile,0.95,1058.44381423409
2023-12-16,wk inc flu hosp,0,2023-12-16,06,quantile,0.975,1072.77170953575
2023-12-16,wk inc flu hosp,0,2023-12-16,06,quantile,0.99,1089.49770821198
2023-12-16,wk inc flu hosp,1,2023-12-23,06,quantile,0.01,865.197397156859
2023-12-16,wk inc flu hosp,1,2023-12-23,06,quantile,0.025,901.441701584414
2023-12-16,wk inc flu hosp,1,2023-12-23,06,quantile,0.05,932.608087257888
2023-12-16,wk inc flu hosp,1,2023-12-23,06,quantile,0.1,968.411879922148
2023-12-16,wk inc flu hosp,1,2023-12-23,06,quantile,0.15,992.517027162242
2023-12-16,wk inc flu hosp,1,2023-12-23,06,quantile,0.2,1011.74701305121
2023-12-16,wk inc flu hosp,1,2023-12-23,06,quantile,0.25,1028.20869940838
2023-12-16,wk inc flu hosp,1,2023-12-23,06,quantile,0.3,1043.15585105929
2023-12-16,wk inc flu hosp,1,2023-12-23,06,quantile,0.35,1056.83757488244
2023-12-16,wk inc flu hosp,1,2023-12-23,06,quantile,0.4,1069.84996489484
2023-12-16,wk inc flu hosp,1,2023-12-23,06,quantile,0.45,1082.40907016005
2023-12-16,wk inc flu hosp,1,2023-12-23,06,quantile,0.5,1094.8518092788
2023-12-16,wk inc flu hosp,1,2023-12-23,06,quantile,0.55,1107.06146711242
2023-12-16,wk inc flu hosp,1,2023-12-23,06,quantile,0.6,1119.74034959002
2023-12-16,wk inc flu hosp,1,2023-12-23,06,quantile,0.65,1132.71510275091
2023-12-16,wk inc flu hosp,1,2023-12-23,06,quantile,0.7,1146.29617526786
2023-12-16,wk inc flu hosp,1,2023-12-23,06,quantile,0.75,1161.14683741117
2023-12-16,wk inc flu hosp,1,2023-12-23,06,quantile,0.8,1177.6297134831
2023-12-16,wk inc flu hosp,1,2023-12-23,06,quantile,0.85,1196.69845804315
2023-12-16,wk inc flu hosp,1,2023-12-23,06,quantile,0.9,1220.98372944932
2023-12-16,wk inc flu hosp,1,2023-12-23,06,quantile,0.95,1256.62699747526
2023-12-16,wk inc flu hosp,1,2023-12-23,06,quantile,0.975,1287.47728741121
2023-12-16,wk inc flu hosp,1,2023-12-23,06,quantile,0.99,1323.15148243679
2023-12-16,wk inc flu hosp,2,2023-12-30,06,quantile,0.01,827.29878818165
2023-12-16,wk inc flu hosp,2,2023-12-30,06,quantile,0.025,885.311069677802
2023-12-16,wk inc flu hosp,2,2023-12-30,06,quantile,0.05,935.358745133381
2023-12-16,wk inc flu hosp,2,2023-12-30,06,quantile,0.1,993.279464486805
2023-12-16,wk inc flu hosp,2,2023-12-30,06,quantile,0.15,1032.21286356076
2023-12-16,wk inc flu hosp,2,2023-12-30,06,quantile,0.2,1063.20981665198
2023-12-16,wk inc flu hosp,2,2023-12-30,06,quantile,0.25,1089.78499486911
2023-12-16,wk inc flu hosp,2,2023-12-30,06,quantile,0.3,1113.58280751837
2023-12-16,wk inc flu hosp,2,2023-12-30,06,quantile,0.35,1135.66804987829
2023-12-16,wk inc flu hosp,2,2023-12-30,06,quantile,0.4,1156.74828972825
2023-12-16,wk inc flu hosp,2,2023-12-30,06,quantile,0.45,1176.99091800381
2023-12-16,wk inc flu hosp,2,2023-12-30,06,quantile,0.5,1196.91088246484
2023-12-16,wk inc flu hosp,2,2023-12-30,06,quantile,0.55,1216.84059251028
2023-12-16,wk inc flu hosp,2,2023-12-30,06,quantile,0.6,1237.26132960874
2023-12-16,wk inc flu hosp,2,2023-12-30,06,quantile,0.65,1258.19422259777
2023-12-16,wk inc flu hosp,2,2023-12-30,06,quantile,0.7,1280.17749165681
2023-12-16,wk inc flu hosp,2,2023-12-30,06,quantile,0.75,1304.03635741406
2023-12-16,wk inc flu hosp,2,2023-12-30,06,quantile,0.8,1330.52966612216
2023-12-16,wk inc flu hosp,2,2023-12-30,06,quantile,0.85,1361.41315887941
2023-12-16,wk inc flu hosp,2,2023-12-30,06,quantile,0.9,1400.54093611265
2023-12-16,wk inc flu hosp,2,2023-12-30,06,quantile,0.95,1458.44661900064
2023-12-16,wk inc flu hosp,2,2023-12-30,06,quantile,0.975,1508.49712756273
2023-12-16,wk inc flu hosp,2,2023-12-30,06,quantile,0.99,1566.36006642766
2023-12-16,wk inc flu hosp,3,2024-01-06,06,quantile,0.01,769.252596597573
