reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.01,247
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.01,152
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.01,85
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.01,40
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.025,262
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.025,170
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.025,99
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.025,50
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.05,278
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.05,189
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.05,113
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.05,60
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.1,296
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.1,212
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.1,133
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.1,75
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.15,308
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.15,228
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.15,150
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.15,87
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.2,319
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.2,244
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.2,164
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.2,98
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.25,328
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.25,259
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.25,177
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.25,108
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.3,336
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.3,271
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.3,190
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.3,119
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.35,345
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.35,284
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.35,203
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.35,130
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.4,354
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.4,296
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.4,216
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.4,140
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.45,362
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.45,309
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.45,230
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.45,150
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.5,370
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.5,323
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.5,245
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.5,161
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.55,378.4500000000007
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.55,337
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.55,259
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.55,174
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.6,387
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.6,354
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.6,275
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.6,187
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.65,397
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.65,370
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.65,294
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.65,202
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.7,407.2999999999993
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.7,388.2999999999993
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.7,314
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.7,220
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.75,419
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.75,411
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.75,339
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.75,241
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.8,432
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.8,437
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.8,369
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.8,266
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.85,448
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.85,465
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.85,405
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.85,298
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.9,468
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.9,503
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.9,446
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.9,332
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.95,496
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.95,555
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.95,503
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.95,378
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.975,518.0249999999996
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.975,594
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.975,545
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.975,410
2024-01-13,wk inc flu hosp,0,2024-01-13,01,quantile,0.99,545
2024-01-13,wk inc flu hosp,1,2024-01-20,01,quantile,0.99,637
2024-01-13,wk inc flu hosp,2,2024-01-27,01,quantile,0.99,585
2024-01-13,wk inc flu hosp,3,2024-02-03,01,quantile,0.99,444
2024-01-13,wk inc flu hosp,0,2024-01-13,02,quantile,0.01,0.9900000000000002
2024-01-13,wk inc flu hosp,1,2024-01-20,02,quantile,0.01,0
2024-01-13,wk inc flu hosp,2,2024-01-27,02,quantile,0.01,0
2024-01-13,wk inc flu hosp,3,2024-02-03,02,quantile,0.01,0
2024-01-13,wk inc flu hosp,0,2024-01-13,02,quantile,0.025,2
2024-01-13,wk inc flu hosp,1,2024-01-20,02,quantile,0.025,0
2024-01-13,wk inc flu hosp,2,2024-01-27,02,quantile,0.025,0
2024-01-13,wk inc flu hosp,3,2024-02-03,02,quantile,0.025,0
2024-01-13,wk inc flu hosp,0,2024-01-13,02,quantile,0.05,3
2024-01-13,wk inc flu hosp,1,2024-01-20,02,quantile,0.05,0
2024-01-13,wk inc flu hosp,2,2024-01-27,02,quantile,0.05,0
2024-01-13,wk inc flu hosp,3,2024-02-03,02,quantile,0.05,0
