reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-03-02,wk inc flu hosp,0,2024-03-02,01,quantile,0.01,30.118118674448205
2024-03-02,wk inc flu hosp,0,2024-03-02,01,quantile,0.025,35.39598071140485
2024-03-02,wk inc flu hosp,0,2024-03-02,01,quantile,0.05,43.05054084546147
2024-03-02,wk inc flu hosp,0,2024-03-02,01,quantile,0.1,52.21306730643289
2024-03-02,wk inc flu hosp,0,2024-03-02,01,quantile,0.15,58.978464857581486
2024-03-02,wk inc flu hosp,0,2024-03-02,01,quantile,0.2,63.66563369804648
2024-03-02,wk inc flu hosp,0,2024-03-02,01,quantile,0.25,67.15926308772325
2024-03-02,wk inc flu hosp,0,2024-03-02,01,quantile,0.3,70.42755469123709
2024-03-02,wk inc flu hosp,0,2024-03-02,01,quantile,0.35,73.4837547430313
2024-03-02,wk inc flu hosp,0,2024-03-02,01,quantile,0.4,76.64449508600302
2024-03-02,wk inc flu hosp,0,2024-03-02,01,quantile,0.45,79.9141367961558
2024-03-02,wk inc flu hosp,0,2024-03-02,01,quantile,0.5,82.91106855475667
2024-03-02,wk inc flu hosp,0,2024-03-02,01,quantile,0.55,87.25069819895255
2024-03-02,wk inc flu hosp,0,2024-03-02,01,quantile,0.6,91.46603067515348
2024-03-02,wk inc flu hosp,0,2024-03-02,01,quantile,0.65,96.20595371698194
2024-03-02,wk inc flu hosp,0,2024-03-02,01,quantile,0.7,100.06806872855498
2024-03-02,wk inc flu hosp,0,2024-03-02,01,quantile,0.75,104.78167389210476
2024-03-02,wk inc flu hosp,0,2024-03-02,01,quantile,0.8,109.47941802847213
2024-03-02,wk inc flu hosp,0,2024-03-02,01,quantile,0.85,115.71638376335147
2024-03-02,wk inc flu hosp,0,2024-03-02,01,quantile,0.9,123.39076034409123
2024-03-02,wk inc flu hosp,0,2024-03-02,01,quantile,0.95,141.73364948036055
2024-03-02,wk inc flu hosp,0,2024-03-02,01,quantile,0.975,163.70711334107534
2024-03-02,wk inc flu hosp,0,2024-03-02,01,quantile,0.99,191.91508532522425
2024-03-02,wk inc flu hosp,1,2024-03-09,01,quantile,0.01,15.780019176641964
2024-03-02,wk inc flu hosp,1,2024-03-09,01,quantile,0.025,23.428085736871704
2024-03-02,wk inc flu hosp,1,2024-03-09,01,quantile,0.05,27.056079928837068
2024-03-02,wk inc flu hosp,1,2024-03-09,01,quantile,0.1,35.96358799651815
2024-03-02,wk inc flu hosp,1,2024-03-09,01,quantile,0.15,44.13898761723457
2024-03-02,wk inc flu hosp,1,2024-03-09,01,quantile,0.2,50.86166608436246
2024-03-02,wk inc flu hosp,1,2024-03-09,01,quantile,0.25,55.98423079716401
2024-03-02,wk inc flu hosp,1,2024-03-09,01,quantile,0.3,59.975256031469215
2024-03-02,wk inc flu hosp,1,2024-03-09,01,quantile,0.35,63.48438873136983
2024-03-02,wk inc flu hosp,1,2024-03-09,01,quantile,0.4,67.53352716882965
2024-03-02,wk inc flu hosp,1,2024-03-09,01,quantile,0.45,71.74022153901565
2024-03-02,wk inc flu hosp,1,2024-03-09,01,quantile,0.5,77.0953558260382
2024-03-02,wk inc flu hosp,1,2024-03-09,01,quantile,0.55,82.67312357010914
2024-03-02,wk inc flu hosp,1,2024-03-09,01,quantile,0.6,88.26646582852723
