reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-03-16,wk inc flu hosp,0,2024-03-16,US,quantile,0.01,2625.864
2024-03-16,wk inc flu hosp,0,2024-03-16,US,quantile,0.025,3026.694
2024-03-16,wk inc flu hosp,0,2024-03-16,US,quantile,0.05,3712.864
2024-03-16,wk inc flu hosp,0,2024-03-16,US,quantile,0.1,4651.109
2024-03-16,wk inc flu hosp,0,2024-03-16,US,quantile,0.15,5397.964
2024-03-16,wk inc flu hosp,0,2024-03-16,US,quantile,0.2,6023.375
2024-03-16,wk inc flu hosp,0,2024-03-16,US,quantile,0.25,6595.445
2024-03-16,wk inc flu hosp,0,2024-03-16,US,quantile,0.3,7100.378
2024-03-16,wk inc flu hosp,0,2024-03-16,US,quantile,0.35,7522.402
2024-03-16,wk inc flu hosp,0,2024-03-16,US,quantile,0.4,7930.783
2024-03-16,wk inc flu hosp,0,2024-03-16,US,quantile,0.45,8356.486
2024-03-16,wk inc flu hosp,0,2024-03-16,US,quantile,0.5,8821.143
2024-03-16,wk inc flu hosp,0,2024-03-16,US,quantile,0.55,9234.359
2024-03-16,wk inc flu hosp,0,2024-03-16,US,quantile,0.6,9676.38
2024-03-16,wk inc flu hosp,0,2024-03-16,US,quantile,0.65,10113.345
2024-03-16,wk inc flu hosp,0,2024-03-16,US,quantile,0.7,10584.25
2024-03-16,wk inc flu hosp,0,2024-03-16,US,quantile,0.75,11117.085
2024-03-16,wk inc flu hosp,0,2024-03-16,US,quantile,0.8,11741.677
2024-03-16,wk inc flu hosp,0,2024-03-16,US,quantile,0.85,12492.5
2024-03-16,wk inc flu hosp,0,2024-03-16,US,quantile,0.9,13487.336
2024-03-16,wk inc flu hosp,0,2024-03-16,US,quantile,0.95,15024.357
2024-03-16,wk inc flu hosp,0,2024-03-16,US,quantile,0.975,16487.386
2024-03-16,wk inc flu hosp,0,2024-03-16,US,quantile,0.99,17690.698
2024-03-16,wk inc flu hosp,1,2024-03-23,US,quantile,0.01,1674.899
2024-03-16,wk inc flu hosp,1,2024-03-23,US,quantile,0.025,2146.938
2024-03-16,wk inc flu hosp,1,2024-03-23,US,quantile,0.05,2864.264
2024-03-16,wk inc flu hosp,1,2024-03-23,US,quantile,0.1,3836.181
2024-03-16,wk inc flu hosp,1,2024-03-23,US,quantile,0.15,4607.31
2024-03-16,wk inc flu hosp,1,2024-03-23,US,quantile,0.2,5257.7249999999995
2024-03-16,wk inc flu hosp,1,2024-03-23,US,quantile,0.25,5877.692
2024-03-16,wk inc flu hosp,1,2024-03-23,US,quantile,0.3,6438.638
2024-03-16,wk inc flu hosp,1,2024-03-23,US,quantile,0.35,6911.43
2024-03-16,wk inc flu hosp,1,2024-03-23,US,quantile,0.4,7366.767
2024-03-16,wk inc flu hosp,1,2024-03-23,US,quantile,0.45,7838.344
2024-03-16,wk inc flu hosp,1,2024-03-23,US,quantile,0.5,8334.514
2024-03-16,wk inc flu hosp,1,2024-03-23,US,quantile,0.55,8816.771
2024-03-16,wk inc flu hosp,1,2024-03-23,US,quantile,0.6,9279.45
2024-03-16,wk inc flu hosp,1,2024-03-23,US,quantile,0.65,9766.719
2024-03-16,wk inc flu hosp,1,2024-03-23,US,quantile,0.7,10277.223
2024-03-16,wk inc flu hosp,1,2024-03-23,US,quantile,0.75,10861.996
2024-03-16,wk inc flu hosp,1,2024-03-23,US,quantile,0.8,11545.419
2024-03-16,wk inc flu hosp,1,2024-03-23,US,quantile,0.85,12376.597
2024-03-16,wk inc flu hosp,1,2024-03-23,US,quantile,0.9,13425.835
2024-03-16,wk inc flu hosp,1,2024-03-23,US,quantile,0.95,15055.883
2024-03-16,wk inc flu hosp,1,2024-03-23,US,quantile,0.975,16712.288
2024-03-16,wk inc flu hosp,1,2024-03-23,US,quantile,0.99,18054.096
2024-03-16,wk inc flu hosp,2,2024-03-30,US,quantile,0.01,1070.103
2024-03-16,wk inc flu hosp,2,2024-03-30,US,quantile,0.025,1532.801
2024-03-16,wk inc flu hosp,2,2024-03-30,US,quantile,0.05,2270.819
2024-03-16,wk inc flu hosp,2,2024-03-30,US,quantile,0.1,3259.089
2024-03-16,wk inc flu hosp,2,2024-03-30,US,quantile,0.15,4023.381
2024-03-16,wk inc flu hosp,2,2024-03-30,US,quantile,0.2,4673.501
2024-03-16,wk inc flu hosp,2,2024-03-30,US,quantile,0.25,5315.462
2024-03-16,wk inc flu hosp,2,2024-03-30,US,quantile,0.3,5885.982
2024-03-16,wk inc flu hosp,2,2024-03-30,US,quantile,0.35,6375.489
2024-03-16,wk inc flu hosp,2,2024-03-30,US,quantile,0.4,6835.151
2024-03-16,wk inc flu hosp,2,2024-03-30,US,quantile,0.45,7335.746
2024-03-16,wk inc flu hosp,2,2024-03-30,US,quantile,0.5,7852.188
2024-03-16,wk inc flu hosp,2,2024-03-30,US,quantile,0.55,8352.528
2024-03-16,wk inc flu hosp,2,2024-03-30,US,quantile,0.6,8850.401
2024-03-16,wk inc flu hosp,2,2024-03-30,US,quantile,0.65,9348.803
2024-03-16,wk inc flu hosp,2,2024-03-30,US,quantile,0.7,9876.993
2024-03-16,wk inc flu hosp,2,2024-03-30,US,quantile,0.75,10482.348
2024-03-16,wk inc flu hosp,2,2024-03-30,US,quantile,0.8,11183.148
2024-03-16,wk inc flu hosp,2,2024-03-30,US,quantile,0.85,12032.428
2024-03-16,wk inc flu hosp,2,2024-03-30,US,quantile,0.9,13135.754
2024-03-16,wk inc flu hosp,2,2024-03-30,US,quantile,0.95,14815.292
