reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2024-01-20,0,wk inc flu hosp,2024-01-20,01,quantile,0.01,115.97
2024-01-20,0,wk inc flu hosp,2024-01-20,01,quantile,0.025,137.75
2024-01-20,0,wk inc flu hosp,2024-01-20,01,quantile,0.05,195.7
2024-01-20,0,wk inc flu hosp,2024-01-20,01,quantile,0.1,220.9
2024-01-20,0,wk inc flu hosp,2024-01-20,01,quantile,0.15,226
2024-01-20,0,wk inc flu hosp,2024-01-20,01,quantile,0.2,230
2024-01-20,0,wk inc flu hosp,2024-01-20,01,quantile,0.25,232
2024-01-20,0,wk inc flu hosp,2024-01-20,01,quantile,0.3,233.7
2024-01-20,0,wk inc flu hosp,2024-01-20,01,quantile,0.35,235
2024-01-20,0,wk inc flu hosp,2024-01-20,01,quantile,0.4,237
2024-01-20,0,wk inc flu hosp,2024-01-20,01,quantile,0.45,238
2024-01-20,0,wk inc flu hosp,2024-01-20,01,quantile,0.5,239
2024-01-20,0,wk inc flu hosp,2024-01-20,01,quantile,0.55,240
2024-01-20,0,wk inc flu hosp,2024-01-20,01,quantile,0.6,241
2024-01-20,0,wk inc flu hosp,2024-01-20,01,quantile,0.65,243
2024-01-20,0,wk inc flu hosp,2024-01-20,01,quantile,0.7,244.29999999999995
2024-01-20,0,wk inc flu hosp,2024-01-20,01,quantile,0.75,246
2024-01-20,0,wk inc flu hosp,2024-01-20,01,quantile,0.8,248
2024-01-20,0,wk inc flu hosp,2024-01-20,01,quantile,0.85,252
2024-01-20,0,wk inc flu hosp,2024-01-20,01,quantile,0.9,257.1
2024-01-20,0,wk inc flu hosp,2024-01-20,01,quantile,0.95,282.2999999999999
2024-01-20,0,wk inc flu hosp,2024-01-20,01,quantile,0.975,340.2499999999999
2024-01-20,0,wk inc flu hosp,2024-01-20,01,quantile,0.99,362.03
2024-01-20,0,wk inc flu hosp,2024-01-20,02,quantile,0.01,0
2024-01-20,0,wk inc flu hosp,2024-01-20,02,quantile,0.025,0
2024-01-20,0,wk inc flu hosp,2024-01-20,02,quantile,0.05,0
2024-01-20,0,wk inc flu hosp,2024-01-20,02,quantile,0.1,5
2024-01-20,0,wk inc flu hosp,2024-01-20,02,quantile,0.15,6
2024-01-20,0,wk inc flu hosp,2024-01-20,02,quantile,0.2,7
2024-01-20,0,wk inc flu hosp,2024-01-20,02,quantile,0.25,8
2024-01-20,0,wk inc flu hosp,2024-01-20,02,quantile,0.3,9
2024-01-20,0,wk inc flu hosp,2024-01-20,02,quantile,0.35,9
2024-01-20,0,wk inc flu hosp,2024-01-20,02,quantile,0.4,9
2024-01-20,0,wk inc flu hosp,2024-01-20,02,quantile,0.45,10
2024-01-20,0,wk inc flu hosp,2024-01-20,02,quantile,0.5,10
2024-01-20,0,wk inc flu hosp,2024-01-20,02,quantile,0.55,10
2024-01-20,0,wk inc flu hosp,2024-01-20,02,quantile,0.6,11
2024-01-20,0,wk inc flu hosp,2024-01-20,02,quantile,0.65,11
2024-01-20,0,wk inc flu hosp,2024-01-20,02,quantile,0.7,11
2024-01-20,0,wk inc flu hosp,2024-01-20,02,quantile,0.75,12
2024-01-20,0,wk inc flu hosp,2024-01-20,02,quantile,0.8,13
2024-01-20,0,wk inc flu hosp,2024-01-20,02,quantile,0.85,14
2024-01-20,0,wk inc flu hosp,2024-01-20,02,quantile,0.9,15
2024-01-20,0,wk inc flu hosp,2024-01-20,02,quantile,0.95,20.04999999999998
2024-01-20,0,wk inc flu hosp,2024-01-20,02,quantile,0.975,30.04999999999998
2024-01-20,0,wk inc flu hosp,2024-01-20,02,quantile,0.99,34.00999999999999
2024-01-20,0,wk inc flu hosp,2024-01-20,04,quantile,0.01,463.88
2024-01-20,0,wk inc flu hosp,2024-01-20,04,quantile,0.025,514.7249999999999
2024-01-20,0,wk inc flu hosp,2024-01-20,04,quantile,0.05,550.4000000000001
2024-01-20,0,wk inc flu hosp,2024-01-20,04,quantile,0.1,682.5
2024-01-20,0,wk inc flu hosp,2024-01-20,04,quantile,0.15,704
2024-01-20,0,wk inc flu hosp,2024-01-20,04,quantile,0.2,711.8
2024-01-20,0,wk inc flu hosp,2024-01-20,04,quantile,0.25,716.75
2024-01-20,0,wk inc flu hosp,2024-01-20,04,quantile,0.3,721
2024-01-20,0,wk inc flu hosp,2024-01-20,04,quantile,0.35,723
2024-01-20,0,wk inc flu hosp,2024-01-20,04,quantile,0.4,724
2024-01-20,0,wk inc flu hosp,2024-01-20,04,quantile,0.45,726
2024-01-20,0,wk inc flu hosp,2024-01-20,04,quantile,0.5,728
2024-01-20,0,wk inc flu hosp,2024-01-20,04,quantile,0.55,730
2024-01-20,0,wk inc flu hosp,2024-01-20,04,quantile,0.6,732
2024-01-20,0,wk inc flu hosp,2024-01-20,04,quantile,0.65,733
2024-01-20,0,wk inc flu hosp,2024-01-20,04,quantile,0.7,735
2024-01-20,0,wk inc flu hosp,2024-01-20,04,quantile,0.75,739.25
2024-01-20,0,wk inc flu hosp,2024-01-20,04,quantile,0.8,744.2
2024-01-20,0,wk inc flu hosp,2024-01-20,04,quantile,0.85,752
2024-01-20,0,wk inc flu hosp,2024-01-20,04,quantile,0.9,773.5000000000001
2024-01-20,0,wk inc flu hosp,2024-01-20,04,quantile,0.95,905.5999999999998
2024-01-20,0,wk inc flu hosp,2024-01-20,04,quantile,0.975,941.275
2024-01-20,0,wk inc flu hosp,2024-01-20,04,quantile,0.99,992.12
2024-01-20,0,wk inc flu hosp,2024-01-20,05,quantile,0.01,129.74999999999997
2024-01-20,0,wk inc flu hosp,2024-01-20,05,quantile,0.025,165.75
2024-01-20,0,wk inc flu hosp,2024-01-20,05,quantile,0.05,178.85000000000002
2024-01-20,0,wk inc flu hosp,2024-01-20,05,quantile,0.1,208.8
2024-01-20,0,wk inc flu hosp,2024-01-20,05,quantile,0.15,213.85
