reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2024-04-20,01,0,wk inc flu hosp,2024-04-20,quantile,0.01,3.6014205734072333
2024-04-20,01,0,wk inc flu hosp,2024-04-20,quantile,0.025,4.821184162741772
2024-04-20,01,0,wk inc flu hosp,2024-04-20,quantile,0.05,6
2024-04-20,01,0,wk inc flu hosp,2024-04-20,quantile,0.1,8
2024-04-20,01,0,wk inc flu hosp,2024-04-20,quantile,0.15,10
2024-04-20,01,0,wk inc flu hosp,2024-04-20,quantile,0.2,11.693
2024-04-20,01,0,wk inc flu hosp,2024-04-20,quantile,0.25,13.52
2024-04-20,01,0,wk inc flu hosp,2024-04-20,quantile,0.3,14.736448812425756
2024-04-20,01,0,wk inc flu hosp,2024-04-20,quantile,0.35,16.753
2024-04-20,01,0,wk inc flu hosp,2024-04-20,quantile,0.4,17.6
2024-04-20,01,0,wk inc flu hosp,2024-04-20,quantile,0.45,18.2
2024-04-20,01,0,wk inc flu hosp,2024-04-20,quantile,0.5,19.64186359335169
2024-04-20,01,0,wk inc flu hosp,2024-04-20,quantile,0.55,22
2024-04-20,01,0,wk inc flu hosp,2024-04-20,quantile,0.6,23.926213671608583
2024-04-20,01,0,wk inc flu hosp,2024-04-20,quantile,0.65,25.5
2024-04-20,01,0,wk inc flu hosp,2024-04-20,quantile,0.7,27.446
2024-04-20,01,0,wk inc flu hosp,2024-04-20,quantile,0.75,29
2024-04-20,01,0,wk inc flu hosp,2024-04-20,quantile,0.8,31
2024-04-20,01,0,wk inc flu hosp,2024-04-20,quantile,0.85,33.1
2024-04-20,01,0,wk inc flu hosp,2024-04-20,quantile,0.9,36
2024-04-20,01,0,wk inc flu hosp,2024-04-20,quantile,0.95,42
2024-04-20,01,0,wk inc flu hosp,2024-04-20,quantile,0.975,50.5
2024-04-20,01,0,wk inc flu hosp,2024-04-20,quantile,0.99,58.6
2024-04-20,01,1,wk inc flu hosp,2024-04-27,quantile,0.01,1.9475695738714789
2024-04-20,01,1,wk inc flu hosp,2024-04-27,quantile,0.025,2.406419604419015
2024-04-20,01,1,wk inc flu hosp,2024-04-27,quantile,0.05,3.084676765252157
2024-04-20,01,1,wk inc flu hosp,2024-04-27,quantile,0.1,5.2863540458109695
2024-04-20,01,1,wk inc flu hosp,2024-04-27,quantile,0.15,7.162
2024-04-20,01,1,wk inc flu hosp,2024-04-27,quantile,0.2,9.37
2024-04-20,01,1,wk inc flu hosp,2024-04-27,quantile,0.25,11
2024-04-20,01,1,wk inc flu hosp,2024-04-27,quantile,0.3,12.160123039526171
2024-04-20,01,1,wk inc flu hosp,2024-04-27,quantile,0.35,13.1587214553881
2024-04-20,01,1,wk inc flu hosp,2024-04-27,quantile,0.4,14.43
2024-04-20,01,1,wk inc flu hosp,2024-04-27,quantile,0.45,16
2024-04-20,01,1,wk inc flu hosp,2024-04-27,quantile,0.5,17.39600185580217
2024-04-20,01,1,wk inc flu hosp,2024-04-27,quantile,0.55,20.08405494471667
2024-04-20,01,1,wk inc flu hosp,2024-04-27,quantile,0.6,22.894
2024-04-20,01,1,wk inc flu hosp,2024-04-27,quantile,0.65,24.98328612689147
2024-04-20,01,1,wk inc flu hosp,2024-04-27,quantile,0.7,26.551
2024-04-20,01,1,wk inc flu hosp,2024-04-27,quantile,0.75,28.49153565315764
2024-04-20,01,1,wk inc flu hosp,2024-04-27,quantile,0.8,31
2024-04-20,01,1,wk inc flu hosp,2024-04-27,quantile,0.85,33.86
2024-04-20,01,1,wk inc flu hosp,2024-04-27,quantile,0.9,38.378521617566825
2024-04-20,01,1,wk inc flu hosp,2024-04-27,quantile,0.95,44.28
2024-04-20,01,1,wk inc flu hosp,2024-04-27,quantile,0.975,55.1
2024-04-20,01,1,wk inc flu hosp,2024-04-27,quantile,0.99,70.00999999999999
2024-04-20,01,2,wk inc flu hosp,2024-05-04,quantile,0.01,0
2024-04-20,01,2,wk inc flu hosp,2024-05-04,quantile,0.025,1
2024-04-20,01,2,wk inc flu hosp,2024-05-04,quantile,0.05,1.315
2024-04-20,01,2,wk inc flu hosp,2024-05-04,quantile,0.1,2.589
2024-04-20,01,2,wk inc flu hosp,2024-05-04,quantile,0.15,5.26
2024-04-20,01,2,wk inc flu hosp,2024-05-04,quantile,0.2,6.86
2024-04-20,01,2,wk inc flu hosp,2024-05-04,quantile,0.25,7.96
2024-04-20,01,2,wk inc flu hosp,2024-05-04,quantile,0.3,9.09
2024-04-20,01,2,wk inc flu hosp,2024-05-04,quantile,0.35,10.542228880395454
2024-04-20,01,2,wk inc flu hosp,2024-05-04,quantile,0.4,12
2024-04-20,01,2,wk inc flu hosp,2024-05-04,quantile,0.45,13.24
2024-04-20,01,2,wk inc flu hosp,2024-05-04,quantile,0.5,15.42
2024-04-20,01,2,wk inc flu hosp,2024-05-04,quantile,0.55,18
2024-04-20,01,2,wk inc flu hosp,2024-05-04,quantile,0.6,20.945
2024-04-20,01,2,wk inc flu hosp,2024-05-04,quantile,0.65,24
2024-04-20,01,2,wk inc flu hosp,2024-05-04,quantile,0.7,26.449704572264743
2024-04-20,01,2,wk inc flu hosp,2024-05-04,quantile,0.75,27.99
2024-04-20,01,2,wk inc flu hosp,2024-05-04,quantile,0.8,31
2024-04-20,01,2,wk inc flu hosp,2024-05-04,quantile,0.85,34.6
2024-04-20,01,2,wk inc flu hosp,2024-05-04,quantile,0.9,39.2
2024-04-20,01,2,wk inc flu hosp,2024-05-04,quantile,0.95,46
2024-04-20,01,2,wk inc flu hosp,2024-05-04,quantile,0.975,55.11167588802134
