reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2023-11-25,01,0,wk inc flu hosp,2023-11-25,quantile,0.01,16.904462560040237
2023-11-25,01,0,wk inc flu hosp,2023-11-25,quantile,0.025,25.94170741233598
2023-11-25,01,0,wk inc flu hosp,2023-11-25,quantile,0.05,33.81455951050233
2023-11-25,01,0,wk inc flu hosp,2023-11-25,quantile,0.1,43.973962301859814
2023-11-25,01,0,wk inc flu hosp,2023-11-25,quantile,0.15,50.60127678363706
2023-11-25,01,0,wk inc flu hosp,2023-11-25,quantile,0.2,56.17661901449472
2023-11-25,01,0,wk inc flu hosp,2023-11-25,quantile,0.25,62.14512028115511
2023-11-25,01,0,wk inc flu hosp,2023-11-25,quantile,0.3,67.39903078605028
2023-11-25,01,0,wk inc flu hosp,2023-11-25,quantile,0.35,71.6744681133936
2023-11-25,01,0,wk inc flu hosp,2023-11-25,quantile,0.4,75.73143462555652
2023-11-25,01,0,wk inc flu hosp,2023-11-25,quantile,0.45,79.34819853959863
2023-11-25,01,0,wk inc flu hosp,2023-11-25,quantile,0.5,83.68370485788154
2023-11-25,01,0,wk inc flu hosp,2023-11-25,quantile,0.55,87.60474470573831
2023-11-25,01,0,wk inc flu hosp,2023-11-25,quantile,0.6,90.0407083380661
2023-11-25,01,0,wk inc flu hosp,2023-11-25,quantile,0.65,93.9131984149479
2023-11-25,01,0,wk inc flu hosp,2023-11-25,quantile,0.7,98.17083679560336
2023-11-25,01,0,wk inc flu hosp,2023-11-25,quantile,0.75,103.01959026895238
2023-11-25,01,0,wk inc flu hosp,2023-11-25,quantile,0.8,109.28174309293762
2023-11-25,01,0,wk inc flu hosp,2023-11-25,quantile,0.85,118.34929819426036
2023-11-25,01,0,wk inc flu hosp,2023-11-25,quantile,0.9,134.05191539886155
2023-11-25,01,0,wk inc flu hosp,2023-11-25,quantile,0.95,170.87484919750366
2023-11-25,01,0,wk inc flu hosp,2023-11-25,quantile,0.975,214.08310932442015
2023-11-25,01,0,wk inc flu hosp,2023-11-25,quantile,0.99,292.818950190476
2023-11-25,01,1,wk inc flu hosp,2023-12-02,quantile,0.01,14.408871585785135
2023-11-25,01,1,wk inc flu hosp,2023-12-02,quantile,0.025,21.82471923256235
2023-11-25,01,1,wk inc flu hosp,2023-12-02,quantile,0.05,31.565198652049787
2023-11-25,01,1,wk inc flu hosp,2023-12-02,quantile,0.1,43.47709208826633
2023-11-25,01,1,wk inc flu hosp,2023-12-02,quantile,0.15,51.4183322888433
