reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-01-06,wk inc flu hosp,0,2024-01-06,02,quantile,0.01,0.05
2024-01-06,wk inc flu hosp,0,2024-01-06,02,quantile,0.025,0.125
2024-01-06,wk inc flu hosp,0,2024-01-06,02,quantile,0.05,0.25
2024-01-06,wk inc flu hosp,0,2024-01-06,02,quantile,0.1,0.5
2024-01-06,wk inc flu hosp,0,2024-01-06,02,quantile,0.15,0.75
2024-01-06,wk inc flu hosp,0,2024-01-06,02,quantile,0.2,1
2024-01-06,wk inc flu hosp,0,2024-01-06,02,quantile,0.25,1.25
2024-01-06,wk inc flu hosp,0,2024-01-06,02,quantile,0.3,1.5
2024-01-06,wk inc flu hosp,0,2024-01-06,02,quantile,0.35,1.75
2024-01-06,wk inc flu hosp,0,2024-01-06,02,quantile,0.4,2
2024-01-06,wk inc flu hosp,0,2024-01-06,02,quantile,0.45,2.25
2024-01-06,wk inc flu hosp,0,2024-01-06,02,quantile,0.5,2.5
2024-01-06,wk inc flu hosp,0,2024-01-06,02,quantile,0.55,2.75
2024-01-06,wk inc flu hosp,0,2024-01-06,02,quantile,0.6,3
2024-01-06,wk inc flu hosp,0,2024-01-06,02,quantile,0.65,3.25
2024-01-06,wk inc flu hosp,0,2024-01-06,02,quantile,0.7,3.5
2024-01-06,wk inc flu hosp,0,2024-01-06,02,quantile,0.75,3.75
2024-01-06,wk inc flu hosp,0,2024-01-06,02,quantile,0.8,4
2024-01-06,wk inc flu hosp,0,2024-01-06,02,quantile,0.85,4.25
2024-01-06,wk inc flu hosp,0,2024-01-06,02,quantile,0.9,4.5
2024-01-06,wk inc flu hosp,0,2024-01-06,02,quantile,0.95,4.75
2024-01-06,wk inc flu hosp,0,2024-01-06,02,quantile,0.975,4.875
2024-01-06,wk inc flu hosp,0,2024-01-06,02,quantile,0.99,4.95
2024-01-06,wk inc flu hosp,1,2024-01-13,02,quantile,0.01,0.01
2024-01-06,wk inc flu hosp,1,2024-01-13,02,quantile,0.025,0.025
2024-01-06,wk inc flu hosp,1,2024-01-13,02,quantile,0.05,0.05
2024-01-06,wk inc flu hosp,1,2024-01-13,02,quantile,0.1,0.1
2024-01-06,wk inc flu hosp,1,2024-01-13,02,quantile,0.15,0.15
2024-01-06,wk inc flu hosp,1,2024-01-13,02,quantile,0.2,0.2
