reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.01,944.0046
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.025,1513.373
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.05,2010.0957
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.1,2584.5847
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.15,3052.356
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.2,3443.9751
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.25,3675.6348
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.3,3973.1304
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.35,4233.7219
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.4,4467.9114
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.45,4693.572
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.5,4942.0839
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.55,5141.4686
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.6,5322.6621
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.65,5516.4094
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.7,5722.4482
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.75,5971.1822
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.8,6270.9728
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.85,6647.9958
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.9,7027.9028
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.95,7704.2894
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.975,8156.5481
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.99,8595.4438
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.01,0
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.025,468.6657
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.05,1095.3114
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.1,1793.3359
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.15,2276.6934
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.2,2689.4687
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.25,2960.427
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.3,3244.2052
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.35,3509.3313
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.4,3777.2261
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.45,4013.425
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.5,4272.3711
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.55,4562.4877
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.6,4804.4643
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.65,5084.6397
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.7,5377.0822
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.75,5660.7363
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.8,5965.0162
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.85,6331.0666
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.9,6822.9789
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.95,7617.3272
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.975,8177.0207
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.99,8959.0262
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.01,0
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.025,0
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.05,0
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.1,155.4469
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.15,813.2971
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.2,1323.2384
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.25,1747.6649
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.3,2151.1907
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.35,2524.3902
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.4,2818.0345
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.45,3045.2962
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.5,3427.7301
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.55,3740.6488
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.6,4043.8489
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.65,4346.9334
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.7,4703.2956
