reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2023-11-11,0,wk inc flu hosp,2023-11-11,01,quantile,0.01,0.945089245
2023-11-11,0,wk inc flu hosp,2023-11-11,01,quantile,0.025,4.79987525
2023-11-11,0,wk inc flu hosp,2023-11-11,01,quantile,0.05,8.2030465
2023-11-11,0,wk inc flu hosp,2023-11-11,01,quantile,0.1,11.365098
2023-11-11,0,wk inc flu hosp,2023-11-11,01,quantile,0.15,13.6426725
2023-11-11,0,wk inc flu hosp,2023-11-11,01,quantile,0.2,15.40505
2023-11-11,0,wk inc flu hosp,2023-11-11,01,quantile,0.25,16.8350875
2023-11-11,0,wk inc flu hosp,2023-11-11,01,quantile,0.3,18.25782
2023-11-11,0,wk inc flu hosp,2023-11-11,01,quantile,0.35,19.4204275
2023-11-11,0,wk inc flu hosp,2023-11-11,01,quantile,0.4,20.61423
2023-11-11,0,wk inc flu hosp,2023-11-11,01,quantile,0.45,21.89067
2023-11-11,0,wk inc flu hosp,2023-11-11,01,quantile,0.5,23.06585
2023-11-11,0,wk inc flu hosp,2023-11-11,01,quantile,0.55,24.275305
2023-11-11,0,wk inc flu hosp,2023-11-11,01,quantile,0.6,25.46922
2023-11-11,0,wk inc flu hosp,2023-11-11,01,quantile,0.65,26.721785
2023-11-11,0,wk inc flu hosp,2023-11-11,01,quantile,0.7,28.07111
2023-11-11,0,wk inc flu hosp,2023-11-11,01,quantile,0.75,29.4928125
2023-11-11,0,wk inc flu hosp,2023-11-11,01,quantile,0.8,31.34912
2023-11-11,0,wk inc flu hosp,2023-11-11,01,quantile,0.85,33.4461725
2023-11-11,0,wk inc flu hosp,2023-11-11,01,quantile,0.9,36.249825
2023-11-11,0,wk inc flu hosp,2023-11-11,01,quantile,0.95,41.136985
2023-11-11,0,wk inc flu hosp,2023-11-11,01,quantile,0.975,45.8239125
2023-11-11,0,wk inc flu hosp,2023-11-11,01,quantile,0.99,53.5518215
2023-11-11,0,wk inc flu hosp,2023-11-11,10,quantile,0.01,0
2023-11-11,0,wk inc flu hosp,2023-11-11,10,quantile,0.025,0
2023-11-11,0,wk inc flu hosp,2023-11-11,10,quantile,0.05,0
2023-11-11,0,wk inc flu hosp,2023-11-11,10,quantile,0.1,0
2023-11-11,0,wk inc flu hosp,2023-11-11,10,quantile,0.15,0.056923825
2023-11-11,0,wk inc flu hosp,2023-11-11,10,quantile,0.2,0.2505648
2023-11-11,0,wk inc flu hosp,2023-11-11,10,quantile,0.25,0.444387625
2023-11-11,0,wk inc flu hosp,2023-11-11,10,quantile,0.3,0.6122585
2023-11-11,0,wk inc flu hosp,2023-11-11,10,quantile,0.35,0.75460515
2023-11-11,0,wk inc flu hosp,2023-11-11,10,quantile,0.4,0.8845997
2023-11-11,0,wk inc flu hosp,2023-11-11,10,quantile,0.45,1.02365715
2023-11-11,0,wk inc flu hosp,2023-11-11,10,quantile,0.5,1.1674725
2023-11-11,0,wk inc flu hosp,2023-11-11,10,quantile,0.55,1.310809
2023-11-11,0,wk inc flu hosp,2023-11-11,10,quantile,0.6,1.457561
2023-11-11,0,wk inc flu hosp,2023-11-11,10,quantile,0.65,1.6193125
2023-11-11,0,wk inc flu hosp,2023-11-11,10,quantile,0.7,1.781078
