reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2024-01-27,0,wk inc flu hosp,2024-01-27,02,quantile,0.01,0
2024-01-27,0,wk inc flu hosp,2024-01-27,02,quantile,0.025,0
2024-01-27,0,wk inc flu hosp,2024-01-27,02,quantile,0.05,0
2024-01-27,0,wk inc flu hosp,2024-01-27,02,quantile,0.1,0
2024-01-27,0,wk inc flu hosp,2024-01-27,02,quantile,0.15,0
2024-01-27,0,wk inc flu hosp,2024-01-27,02,quantile,0.2,0
2024-01-27,0,wk inc flu hosp,2024-01-27,02,quantile,0.25,0
2024-01-27,0,wk inc flu hosp,2024-01-27,02,quantile,0.3,0
2024-01-27,0,wk inc flu hosp,2024-01-27,02,quantile,0.35,0
2024-01-27,0,wk inc flu hosp,2024-01-27,02,quantile,0.4,0
2024-01-27,0,wk inc flu hosp,2024-01-27,02,quantile,0.45,0.4786195
2024-01-27,0,wk inc flu hosp,2024-01-27,02,quantile,0.5,1.08457
2024-01-27,0,wk inc flu hosp,2024-01-27,02,quantile,0.55,1.7355675
2024-01-27,0,wk inc flu hosp,2024-01-27,02,quantile,0.6,2.349808
2024-01-27,0,wk inc flu hosp,2024-01-27,02,quantile,0.65,2.9880385
2024-01-27,0,wk inc flu hosp,2024-01-27,02,quantile,0.7,3.646542
2024-01-27,0,wk inc flu hosp,2024-01-27,02,quantile,0.75,4.417395
2024-01-27,0,wk inc flu hosp,2024-01-27,02,quantile,0.8,5.301816
2024-01-27,0,wk inc flu hosp,2024-01-27,02,quantile,0.85,6.3363025
2024-01-27,0,wk inc flu hosp,2024-01-27,02,quantile,0.9,7.66669
2024-01-27,0,wk inc flu hosp,2024-01-27,02,quantile,0.95,9.85032
2024-01-27,0,wk inc flu hosp,2024-01-27,02,quantile,0.975,11.5642825
2024-01-27,0,wk inc flu hosp,2024-01-27,02,quantile,0.99,14.024577
2024-01-27,1,wk inc flu hosp,2024-02-03,02,quantile,0.01,0
2024-01-27,1,wk inc flu hosp,2024-02-03,02,quantile,0.025,0
2024-01-27,1,wk inc flu hosp,2024-02-03,02,quantile,0.05,0
2024-01-27,1,wk inc flu hosp,2024-02-03,02,quantile,0.1,0
2024-01-27,1,wk inc flu hosp,2024-02-03,02,quantile,0.15,0
2024-01-27,1,wk inc flu hosp,2024-02-03,02,quantile,0.2,0
2024-01-27,1,wk inc flu hosp,2024-02-03,02,quantile,0.25,0
2024-01-27,1,wk inc flu hosp,2024-02-03,02,quantile,0.3,0
2024-01-27,1,wk inc flu hosp,2024-02-03,02,quantile,0.35,0
2024-01-27,1,wk inc flu hosp,2024-02-03,02,quantile,0.4,0
2024-01-27,1,wk inc flu hosp,2024-02-03,02,quantile,0.45,0
2024-01-27,1,wk inc flu hosp,2024-02-03,02,quantile,0.5,0.51778
2024-01-27,1,wk inc flu hosp,2024-02-03,02,quantile,0.55,1.143931
2024-01-27,1,wk inc flu hosp,2024-02-03,02,quantile,0.6,1.829238
2024-01-27,1,wk inc flu hosp,2024-02-03,02,quantile,0.65,2.51029550000001
2024-01-27,1,wk inc flu hosp,2024-02-03,02,quantile,0.7,3.284263
2024-01-27,1,wk inc flu hosp,2024-02-03,02,quantile,0.75,4.0737875
2024-01-27,1,wk inc flu hosp,2024-02-03,02,quantile,0.8,4.878112
2024-01-27,1,wk inc flu hosp,2024-02-03,02,quantile,0.85,5.879843
2024-01-27,1,wk inc flu hosp,2024-02-03,02,quantile,0.9,7.12808
2024-01-27,1,wk inc flu hosp,2024-02-03,02,quantile,0.95,9.12715
2024-01-27,1,wk inc flu hosp,2024-02-03,02,quantile,0.975,10.997665
2024-01-27,1,wk inc flu hosp,2024-02-03,02,quantile,0.99,13.188708
2024-01-27,2,wk inc flu hosp,2024-02-10,02,quantile,0.01,0
