reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-05-04,wk inc flu hosp,0,2024-05-04,01,quantile,0.01,2
2024-05-04,wk inc flu hosp,0,2024-05-04,01,quantile,0.025,3
2024-05-04,wk inc flu hosp,0,2024-05-04,01,quantile,0.05,5
2024-05-04,wk inc flu hosp,0,2024-05-04,01,quantile,0.1,6
2024-05-04,wk inc flu hosp,0,2024-05-04,01,quantile,0.15,8
2024-05-04,wk inc flu hosp,0,2024-05-04,01,quantile,0.2,9
2024-05-04,wk inc flu hosp,0,2024-05-04,01,quantile,0.25,9
2024-05-04,wk inc flu hosp,0,2024-05-04,01,quantile,0.3,10
2024-05-04,wk inc flu hosp,0,2024-05-04,01,quantile,0.35,11
2024-05-04,wk inc flu hosp,0,2024-05-04,01,quantile,0.4,12
2024-05-04,wk inc flu hosp,0,2024-05-04,01,quantile,0.45,12
2024-05-04,wk inc flu hosp,0,2024-05-04,01,quantile,0.5,13
2024-05-04,wk inc flu hosp,0,2024-05-04,01,quantile,0.55,14
2024-05-04,wk inc flu hosp,0,2024-05-04,01,quantile,0.6,15
2024-05-04,wk inc flu hosp,0,2024-05-04,01,quantile,0.65,15
2024-05-04,wk inc flu hosp,0,2024-05-04,01,quantile,0.7,16
2024-05-04,wk inc flu hosp,0,2024-05-04,01,quantile,0.75,17
2024-05-04,wk inc flu hosp,0,2024-05-04,01,quantile,0.8,18
2024-05-04,wk inc flu hosp,0,2024-05-04,01,quantile,0.85,20
2024-05-04,wk inc flu hosp,0,2024-05-04,01,quantile,0.9,22
2024-05-04,wk inc flu hosp,0,2024-05-04,01,quantile,0.95,25
2024-05-04,wk inc flu hosp,0,2024-05-04,01,quantile,0.975,28
2024-05-04,wk inc flu hosp,0,2024-05-04,01,quantile,0.99,32
2024-05-04,wk inc flu hosp,1,2024-05-11,01,quantile,0.01,1
2024-05-04,wk inc flu hosp,1,2024-05-11,01,quantile,0.025,2
2024-05-04,wk inc flu hosp,1,2024-05-11,01,quantile,0.05,3
2024-05-04,wk inc flu hosp,1,2024-05-11,01,quantile,0.1,4
2024-05-04,wk inc flu hosp,1,2024-05-11,01,quantile,0.15,6
2024-05-04,wk inc flu hosp,1,2024-05-11,01,quantile,0.2,7
2024-05-04,wk inc flu hosp,1,2024-05-11,01,quantile,0.25,8
2024-05-04,wk inc flu hosp,1,2024-05-11,01,quantile,0.3,8
2024-05-04,wk inc flu hosp,1,2024-05-11,01,quantile,0.35,9
2024-05-04,wk inc flu hosp,1,2024-05-11,01,quantile,0.4,10
2024-05-04,wk inc flu hosp,1,2024-05-11,01,quantile,0.45,11
2024-05-04,wk inc flu hosp,1,2024-05-11,01,quantile,0.5,11
2024-05-04,wk inc flu hosp,1,2024-05-11,01,quantile,0.55,12
2024-05-04,wk inc flu hosp,1,2024-05-11,01,quantile,0.6,13
2024-05-04,wk inc flu hosp,1,2024-05-11,01,quantile,0.65,14
2024-05-04,wk inc flu hosp,1,2024-05-11,01,quantile,0.7,15
2024-05-04,wk inc flu hosp,1,2024-05-11,01,quantile,0.75,16
2024-05-04,wk inc flu hosp,1,2024-05-11,01,quantile,0.8,17
2024-05-04,wk inc flu hosp,1,2024-05-11,01,quantile,0.85,19
2024-05-04,wk inc flu hosp,1,2024-05-11,01,quantile,0.9,21
2024-05-04,wk inc flu hosp,1,2024-05-11,01,quantile,0.95,24
2024-05-04,wk inc flu hosp,1,2024-05-11,01,quantile,0.975,27
2024-05-04,wk inc flu hosp,1,2024-05-11,01,quantile,0.99,31
2024-05-04,wk inc flu hosp,0,2024-05-04,02,quantile,0.01,0
2024-05-04,wk inc flu hosp,0,2024-05-04,02,quantile,0.025,0
2024-05-04,wk inc flu hosp,0,2024-05-04,02,quantile,0.05,0
2024-05-04,wk inc flu hosp,0,2024-05-04,02,quantile,0.1,0
2024-05-04,wk inc flu hosp,0,2024-05-04,02,quantile,0.15,0
2024-05-04,wk inc flu hosp,0,2024-05-04,02,quantile,0.2,0
2024-05-04,wk inc flu hosp,0,2024-05-04,02,quantile,0.25,0
2024-05-04,wk inc flu hosp,0,2024-05-04,02,quantile,0.3,0
2024-05-04,wk inc flu hosp,0,2024-05-04,02,quantile,0.35,0
2024-05-04,wk inc flu hosp,0,2024-05-04,02,quantile,0.4,0
2024-05-04,wk inc flu hosp,0,2024-05-04,02,quantile,0.45,0
2024-05-04,wk inc flu hosp,0,2024-05-04,02,quantile,0.5,0
2024-05-04,wk inc flu hosp,0,2024-05-04,02,quantile,0.55,0
2024-05-04,wk inc flu hosp,0,2024-05-04,02,quantile,0.6,0
2024-05-04,wk inc flu hosp,0,2024-05-04,02,quantile,0.65,0
2024-05-04,wk inc flu hosp,0,2024-05-04,02,quantile,0.7,1
2024-05-04,wk inc flu hosp,0,2024-05-04,02,quantile,0.75,1
2024-05-04,wk inc flu hosp,0,2024-05-04,02,quantile,0.8,2
2024-05-04,wk inc flu hosp,0,2024-05-04,02,quantile,0.85,3
2024-05-04,wk inc flu hosp,0,2024-05-04,02,quantile,0.9,4
2024-05-04,wk inc flu hosp,0,2024-05-04,02,quantile,0.95,5
2024-05-04,wk inc flu hosp,0,2024-05-04,02,quantile,0.975,7
2024-05-04,wk inc flu hosp,0,2024-05-04,02,quantile,0.99,8
2024-05-04,wk inc flu hosp,1,2024-05-11,02,quantile,0.01,0
2024-05-04,wk inc flu hosp,1,2024-05-11,02,quantile,0.025,0
2024-05-04,wk inc flu hosp,1,2024-05-11,02,quantile,0.05,0
2024-05-04,wk inc flu hosp,1,2024-05-11,02,quantile,0.1,0
2024-05-04,wk inc flu hosp,1,2024-05-11,02,quantile,0.15,0
2024-05-04,wk inc flu hosp,1,2024-05-11,02,quantile,0.2,0
2024-05-04,wk inc flu hosp,1,2024-05-11,02,quantile,0.25,0
2024-05-04,wk inc flu hosp,1,2024-05-11,02,quantile,0.3,0
2024-05-04,wk inc flu hosp,1,2024-05-11,02,quantile,0.35,0
2024-05-04,wk inc flu hosp,1,2024-05-11,02,quantile,0.4,0
2024-05-04,wk inc flu hosp,1,2024-05-11,02,quantile,0.45,0
2024-05-04,wk inc flu hosp,1,2024-05-11,02,quantile,0.5,0
2024-05-04,wk inc flu hosp,1,2024-05-11,02,quantile,0.55,0
2024-05-04,wk inc flu hosp,1,2024-05-11,02,quantile,0.6,0
2024-05-04,wk inc flu hosp,1,2024-05-11,02,quantile,0.65,0
2024-05-04,wk inc flu hosp,1,2024-05-11,02,quantile,0.7,0
2024-05-04,wk inc flu hosp,1,2024-05-11,02,quantile,0.75,1
2024-05-04,wk inc flu hosp,1,2024-05-11,02,quantile,0.8,2
2024-05-04,wk inc flu hosp,1,2024-05-11,02,quantile,0.85,3
2024-05-04,wk inc flu hosp,1,2024-05-11,02,quantile,0.9,3
2024-05-04,wk inc flu hosp,1,2024-05-11,02,quantile,0.95,5
2024-05-04,wk inc flu hosp,1,2024-05-11,02,quantile,0.975,6
2024-05-04,wk inc flu hosp,1,2024-05-11,02,quantile,0.99,8
2024-05-04,wk inc flu hosp,0,2024-05-04,04,quantile,0.01,0
2024-05-04,wk inc flu hosp,0,2024-05-04,04,quantile,0.025,0
2024-05-04,wk inc flu hosp,0,2024-05-04,04,quantile,0.05,0
2024-05-04,wk inc flu hosp,0,2024-05-04,04,quantile,0.1,0
2024-05-04,wk inc flu hosp,0,2024-05-04,04,quantile,0.15,0
