reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2023-11-04,11,0,wk inc flu hosp,2023-11-04,quantile,0.01,0
2023-11-04,11,0,wk inc flu hosp,2023-11-04,quantile,0.025,0
2023-11-04,11,0,wk inc flu hosp,2023-11-04,quantile,0.05,0
2023-11-04,11,0,wk inc flu hosp,2023-11-04,quantile,0.1,0
2023-11-04,11,0,wk inc flu hosp,2023-11-04,quantile,0.15,0
2023-11-04,11,0,wk inc flu hosp,2023-11-04,quantile,0.2,0
2023-11-04,11,0,wk inc flu hosp,2023-11-04,quantile,0.25,0
2023-11-04,11,0,wk inc flu hosp,2023-11-04,quantile,0.3,0
2023-11-04,11,0,wk inc flu hosp,2023-11-04,quantile,0.35,1.97338475229062
2023-11-04,11,0,wk inc flu hosp,2023-11-04,quantile,0.4,1.97338475229062
2023-11-04,11,0,wk inc flu hosp,2023-11-04,quantile,0.45,1.97338475229062
2023-11-04,11,0,wk inc flu hosp,2023-11-04,quantile,0.5,1.97338475229062
2023-11-04,11,0,wk inc flu hosp,2023-11-04,quantile,0.55,1.97338475229062
2023-11-04,11,0,wk inc flu hosp,2023-11-04,quantile,0.6,1.97338475229062
2023-11-04,11,0,wk inc flu hosp,2023-11-04,quantile,0.65,4.31652831238827
2023-11-04,11,0,wk inc flu hosp,2023-11-04,quantile,0.7,4.31652831238827
2023-11-04,11,0,wk inc flu hosp,2023-11-04,quantile,0.75,4.31652831238827
2023-11-04,11,0,wk inc flu hosp,2023-11-04,quantile,0.8,4.31652831238827
2023-11-04,11,0,wk inc flu hosp,2023-11-04,quantile,0.85,4.32634838485489
2023-11-04,11,0,wk inc flu hosp,2023-11-04,quantile,0.9,4.32634838485489
2023-11-04,11,0,wk inc flu hosp,2023-11-04,quantile,0.95,5.30935970718907
2023-11-04,11,0,wk inc flu hosp,2023-11-04,quantile,0.975,5.56812115837168
2023-11-04,11,0,wk inc flu hosp,2023-11-04,quantile,0.99,7.33323648949696
2023-11-04,11,1,wk inc flu hosp,2023-11-11,quantile,0.01,0
2023-11-04,11,1,wk inc flu hosp,2023-11-11,quantile,0.025,0
2023-11-04,11,1,wk inc flu hosp,2023-11-11,quantile,0.05,0
2023-11-04,11,1,wk inc flu hosp,2023-11-11,quantile,0.1,0
2023-11-04,11,1,wk inc flu hosp,2023-11-11,quantile,0.15,0
2023-11-04,11,1,wk inc flu hosp,2023-11-11,quantile,0.2,0
2023-11-04,11,1,wk inc flu hosp,2023-11-11,quantile,0.25,0
2023-11-04,11,1,wk inc flu hosp,2023-11-11,quantile,0.3,0
2023-11-04,11,1,wk inc flu hosp,2023-11-11,quantile,0.35,1.97338475229062
2023-11-04,11,1,wk inc flu hosp,2023-11-11,quantile,0.4,1.97338475229062
2023-11-04,11,1,wk inc flu hosp,2023-11-11,quantile,0.45,1.97338475229062
2023-11-04,11,1,wk inc flu hosp,2023-11-11,quantile,0.5,1.97338475229062
2023-11-04,11,1,wk inc flu hosp,2023-11-11,quantile,0.55,1.97338475229062
2023-11-04,11,1,wk inc flu hosp,2023-11-11,quantile,0.6,3.58163274843942
2023-11-04,11,1,wk inc flu hosp,2023-11-11,quantile,0.65,3.58163274843942
2023-11-04,11,1,wk inc flu hosp,2023-11-11,quantile,0.7,3.58163274843942
2023-11-04,11,1,wk inc flu hosp,2023-11-11,quantile,0.75,3.58163274843942
2023-11-04,11,1,wk inc flu hosp,2023-11-11,quantile,0.8,3.59865252678261
2023-11-04,11,1,wk inc flu hosp,2023-11-11,quantile,0.85,3.59865252678261
2023-11-04,11,1,wk inc flu hosp,2023-11-11,quantile,0.9,4.11137190123542
2023-11-04,11,1,wk inc flu hosp,2023-11-11,quantile,0.95,5.0943832235696
2023-11-04,11,1,wk inc flu hosp,2023-11-11,quantile,0.975,5.35314467475222
2023-11-04,11,1,wk inc flu hosp,2023-11-11,quantile,0.99,7.11826000587749
2023-11-04,11,2,wk inc flu hosp,2023-11-18,quantile,0.01,0
2023-11-04,11,2,wk inc flu hosp,2023-11-18,quantile,0.025,0
2023-11-04,11,2,wk inc flu hosp,2023-11-18,quantile,0.05,0
2023-11-04,11,2,wk inc flu hosp,2023-11-18,quantile,0.1,0
2023-11-04,11,2,wk inc flu hosp,2023-11-18,quantile,0.15,0
2023-11-04,11,2,wk inc flu hosp,2023-11-18,quantile,0.2,0
2023-11-04,11,2,wk inc flu hosp,2023-11-18,quantile,0.25,0
2023-11-04,11,2,wk inc flu hosp,2023-11-18,quantile,0.3,0
2023-11-04,11,2,wk inc flu hosp,2023-11-18,quantile,0.35,1.97338475229062
2023-11-04,11,2,wk inc flu hosp,2023-11-18,quantile,0.4,1.97338475229062
2023-11-04,11,2,wk inc flu hosp,2023-11-18,quantile,0.45,1.97338475229062
2023-11-04,11,2,wk inc flu hosp,2023-11-18,quantile,0.5,1.97338475229062
2023-11-04,11,2,wk inc flu hosp,2023-11-18,quantile,0.55,1.97338475229062
2023-11-04,11,2,wk inc flu hosp,2023-11-18,quantile,0.6,3.58163274843942
2023-11-04,11,2,wk inc flu hosp,2023-11-18,quantile,0.65,3.58163274843942
2023-11-04,11,2,wk inc flu hosp,2023-11-18,quantile,0.7,3.58163274843942
2023-11-04,11,2,wk inc flu hosp,2023-11-18,quantile,0.75,3.58163274843942
2023-11-04,11,2,wk inc flu hosp,2023-11-18,quantile,0.8,3.59865252678261
2023-11-04,11,2,wk inc flu hosp,2023-11-18,quantile,0.85,3.59865252678261
2023-11-04,11,2,wk inc flu hosp,2023-11-18,quantile,0.9,4.11137190123542
2023-11-04,11,2,wk inc flu hosp,2023-11-18,quantile,0.95,5.0943832235696
2023-11-04,11,2,wk inc flu hosp,2023-11-18,quantile,0.975,5.61190612593483
2023-11-04,11,2,wk inc flu hosp,2023-11-18,quantile,0.99,7.3770214570601
2023-11-04,11,3,wk inc flu hosp,2023-11-25,quantile,0.01,0
2023-11-04,11,3,wk inc flu hosp,2023-11-25,quantile,0.025,0
2023-11-04,11,3,wk inc flu hosp,2023-11-25,quantile,0.05,0
2023-11-04,11,3,wk inc flu hosp,2023-11-25,quantile,0.1,0
