reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.01,5.680036046842687
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.025,8.9580959593015
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.05,12.343333406687666
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.1,16.91106800871536
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.15,20.402436151149768
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.2,23.415960948298093
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.25,26.17144195435507
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.3,28.780917687919285
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.35,31.31375616370084
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.4,33.8198590134901
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.45,36.34023036693723
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.5,38.91298680760198
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.55,41.577789749570925
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.6,44.38024443025789
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.65,47.37760612151022
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.7,50.64777742404875
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.75,54.30566959896751
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.8,58.53710245331828
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.85,63.68088147782005
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.9,70.4784153785326
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.95,81.22575354238742
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.975,91.20326033032993
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.99,103.5771979448172
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.01,4.438896435365438
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.025,7.371154975867322
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.05,10.444895280804111
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.1,14.639782282134457
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.15,17.87244004697136
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.2,20.676756019599942
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.25,23.25047186679358
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.3,25.69507974563324
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.35,28.073875403423493
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.4,30.43276928875279
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.45,32.809829584781575
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.5,35.24076669921551
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.55,37.76304159461603
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.6,40.42001135319708
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.65,43.26637121743615
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.7,46.37679023208028
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.75,49.86166142321208
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.8,53.8997813352839
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.85,58.81753863404749
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.9,65.32992059749505
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.95,75.65381623878899
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.975,85.26408466258536
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.99,97.2120932779884
2024-04-13,wk inc flu hosp,2,2024-04-27,01,quantile,0.01,4.002221583449931
2024-04-13,wk inc flu hosp,2,2024-04-27,01,quantile,0.025,6.487835302902155
2024-04-13,wk inc flu hosp,2,2024-04-27,01,quantile,0.05,9.050553774739273
2024-04-13,wk inc flu hosp,2,2024-04-27,01,quantile,0.1,12.501525039759878
2024-04-13,wk inc flu hosp,2,2024-04-27,01,quantile,0.15,15.134272663234473
2024-04-13,wk inc flu hosp,2,2024-04-27,01,quantile,0.2,17.403481758256344
