reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.01,21.945
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.025,24.014
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.05,26.599
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.1,29.203
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.15,32.434
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.2,34.791
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.25,36.655
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.3,38.849
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.35,40.455
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.4,41.917
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.45,43.639
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.5,45.294
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.55,46.589
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.6,48.444
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.65,50.48
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.7,52.24
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.75,54.451
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.8,56.72
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.85,59.492
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.9,62.937
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.95,68.824
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.975,74.747
2024-04-13,wk inc flu hosp,0,2024-04-13,01,quantile,0.99,81.45
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.01,19.546
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.025,22.231
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.05,25.44
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.1,28.839
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.15,31.906
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.2,34.219
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.25,36.136
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.3,37.985
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.35,39.462
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.4,41.386
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.45,42.779
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.5,44.205
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.55,45.433
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.6,47.308
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.65,49.36
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.7,51.123
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.75,53.724
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.8,56.357
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.85,59.401
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.9,62.483
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.95,68.28
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.975,74.319
2024-04-13,wk inc flu hosp,1,2024-04-20,01,quantile,0.99,82.247
2024-04-13,wk inc flu hosp,2,2024-04-27,01,quantile,0.01,14.432
2024-04-13,wk inc flu hosp,2,2024-04-27,01,quantile,0.025,16.277
2024-04-13,wk inc flu hosp,2,2024-04-27,01,quantile,0.05,18.846
2024-04-13,wk inc flu hosp,2,2024-04-27,01,quantile,0.1,22.478
2024-04-13,wk inc flu hosp,2,2024-04-27,01,quantile,0.15,25.065
2024-04-13,wk inc flu hosp,2,2024-04-27,01,quantile,0.2,27.406
2024-04-13,wk inc flu hosp,2,2024-04-27,01,quantile,0.25,29.452
2024-04-13,wk inc flu hosp,2,2024-04-27,01,quantile,0.3,31.213
2024-04-13,wk inc flu hosp,2,2024-04-27,01,quantile,0.35,33.218
2024-04-13,wk inc flu hosp,2,2024-04-27,01,quantile,0.4,35.518
2024-04-13,wk inc flu hosp,2,2024-04-27,01,quantile,0.45,37.244
2024-04-13,wk inc flu hosp,2,2024-04-27,01,quantile,0.5,39.237
2024-04-13,wk inc flu hosp,2,2024-04-27,01,quantile,0.55,41.032
2024-04-13,wk inc flu hosp,2,2024-04-27,01,quantile,0.6,42.891
2024-04-13,wk inc flu hosp,2,2024-04-27,01,quantile,0.65,44.209
2024-04-13,wk inc flu hosp,2,2024-04-27,01,quantile,0.7,46.328
2024-04-13,wk inc flu hosp,2,2024-04-27,01,quantile,0.75,48.854
2024-04-13,wk inc flu hosp,2,2024-04-27,01,quantile,0.8,51.005
2024-04-13,wk inc flu hosp,2,2024-04-27,01,quantile,0.85,54.175
2024-04-13,wk inc flu hosp,2,2024-04-27,01,quantile,0.9,57.833
2024-04-13,wk inc flu hosp,2,2024-04-27,01,quantile,0.95,64.611
2024-04-13,wk inc flu hosp,2,2024-04-27,01,quantile,0.975,70.077
2024-04-13,wk inc flu hosp,2,2024-04-27,01,quantile,0.99,76.354
2024-04-13,wk inc flu hosp,3,2024-05-04,01,quantile,0.01,16.075
2024-04-13,wk inc flu hosp,3,2024-05-04,01,quantile,0.025,17.704
2024-04-13,wk inc flu hosp,3,2024-05-04,01,quantile,0.05,19.293
2024-04-13,wk inc flu hosp,3,2024-05-04,01,quantile,0.1,22.043
2024-04-13,wk inc flu hosp,3,2024-05-04,01,quantile,0.15,23.805
2024-04-13,wk inc flu hosp,3,2024-05-04,01,quantile,0.2,25.647
2024-04-13,wk inc flu hosp,3,2024-05-04,01,quantile,0.25,27.38
2024-04-13,wk inc flu hosp,3,2024-05-04,01,quantile,0.3,28.871
2024-04-13,wk inc flu hosp,3,2024-05-04,01,quantile,0.35,30.313
2024-04-13,wk inc flu hosp,3,2024-05-04,01,quantile,0.4,31.851
2024-04-13,wk inc flu hosp,3,2024-05-04,01,quantile,0.45,33.545
2024-04-13,wk inc flu hosp,3,2024-05-04,01,quantile,0.5,35.599
2024-04-13,wk inc flu hosp,3,2024-05-04,01,quantile,0.55,37.674
2024-04-13,wk inc flu hosp,3,2024-05-04,01,quantile,0.6,39.937
2024-04-13,wk inc flu hosp,3,2024-05-04,01,quantile,0.65,42.296
2024-04-13,wk inc flu hosp,3,2024-05-04,01,quantile,0.7,44.61
2024-04-13,wk inc flu hosp,3,2024-05-04,01,quantile,0.75,46.943
2024-04-13,wk inc flu hosp,3,2024-05-04,01,quantile,0.8,49.999
2024-04-13,wk inc flu hosp,3,2024-05-04,01,quantile,0.85,53.639
2024-04-13,wk inc flu hosp,3,2024-05-04,01,quantile,0.9,57.208
2024-04-13,wk inc flu hosp,3,2024-05-04,01,quantile,0.95,63.199
2024-04-13,wk inc flu hosp,3,2024-05-04,01,quantile,0.975,69.114
2024-04-13,wk inc flu hosp,3,2024-05-04,01,quantile,0.99,73.312
2024-04-13,wk inc flu hosp,0,2024-04-13,02,quantile,0.01,0
2024-04-13,wk inc flu hosp,0,2024-04-13,02,quantile,0.025,0
2024-04-13,wk inc flu hosp,0,2024-04-13,02,quantile,0.05,1
2024-04-13,wk inc flu hosp,0,2024-04-13,02,quantile,0.1,1
2024-04-13,wk inc flu hosp,0,2024-04-13,02,quantile,0.15,1
2024-04-13,wk inc flu hosp,0,2024-04-13,02,quantile,0.2,2
2024-04-13,wk inc flu hosp,0,2024-04-13,02,quantile,0.25,2
2024-04-13,wk inc flu hosp,0,2024-04-13,02,quantile,0.3,2
2024-04-13,wk inc flu hosp,0,2024-04-13,02,quantile,0.35,3
2024-04-13,wk inc flu hosp,0,2024-04-13,02,quantile,0.4,3
2024-04-13,wk inc flu hosp,0,2024-04-13,02,quantile,0.45,3
2024-04-13,wk inc flu hosp,0,2024-04-13,02,quantile,0.5,3
2024-04-13,wk inc flu hosp,0,2024-04-13,02,quantile,0.55,4
2024-04-13,wk inc flu hosp,0,2024-04-13,02,quantile,0.6,4
2024-04-13,wk inc flu hosp,0,2024-04-13,02,quantile,0.65,4
2024-04-13,wk inc flu hosp,0,2024-04-13,02,quantile,0.7,5
2024-04-13,wk inc flu hosp,0,2024-04-13,02,quantile,0.75,5
2024-04-13,wk inc flu hosp,0,2024-04-13,02,quantile,0.8,5
2024-04-13,wk inc flu hosp,0,2024-04-13,02,quantile,0.85,6
2024-04-13,wk inc flu hosp,0,2024-04-13,02,quantile,0.9,7
2024-04-13,wk inc flu hosp,0,2024-04-13,02,quantile,0.95,8
2024-04-13,wk inc flu hosp,0,2024-04-13,02,quantile,0.975,9
2024-04-13,wk inc flu hosp,0,2024-04-13,02,quantile,0.99,10
2024-04-13,wk inc flu hosp,1,2024-04-20,02,quantile,0.01,0
2024-04-13,wk inc flu hosp,1,2024-04-20,02,quantile,0.025,0
2024-04-13,wk inc flu hosp,1,2024-04-20,02,quantile,0.05,0
2024-04-13,wk inc flu hosp,1,2024-04-20,02,quantile,0.1,1
2024-04-13,wk inc flu hosp,1,2024-04-20,02,quantile,0.15,1
2024-04-13,wk inc flu hosp,1,2024-04-20,02,quantile,0.2,1
2024-04-13,wk inc flu hosp,1,2024-04-20,02,quantile,0.25,2
2024-04-13,wk inc flu hosp,1,2024-04-20,02,quantile,0.3,2
2024-04-13,wk inc flu hosp,1,2024-04-20,02,quantile,0.35,2
2024-04-13,wk inc flu hosp,1,2024-04-20,02,quantile,0.4,2
2024-04-13,wk inc flu hosp,1,2024-04-20,02,quantile,0.45,3
2024-04-13,wk inc flu hosp,1,2024-04-20,02,quantile,0.5,3
2024-04-13,wk inc flu hosp,1,2024-04-20,02,quantile,0.55,3
2024-04-13,wk inc flu hosp,1,2024-04-20,02,quantile,0.6,3
