reference_date,target,horizon,target_end_date,output_type,output_type_id,value,location
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.01,53.29594477981228,06
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.025,119.39197876534676,06
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.05,232.28794087702377,06
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.1,437.3788177729492,06
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.15,513.266881151418,06
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.2,570.8420283504499,06
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.25,622.3298590575063,06
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.3,655.6128951920281,06
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.35,703.5663043821359,06
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.4,735.783549211026,06
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.45,774.5564001847346,06
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.5,828.5788583828726,06
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.55,899.5292494725697,06
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.6,966.717051105178,06
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.65,1033.4740671772938,06
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.7,1131.1454789199292,06
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.75,1206.623810507531,06
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.8,1300.112215808756,06
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.85,1394.9283114573866,06
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.9,1651.1989955689437,06
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.95,2366.5998182311573,06
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.975,4843.554082067853,06
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.99,6199.821229889171,06
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.01,48.90362064923587,06
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.025,101.85717270145688,06
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.05,175.20020609751015,06
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.1,311.9388491081734,06
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.15,363.6621890116543,06
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.2,419.28480100419927,06
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.25,455.0605875738422,06
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.3,488.32529790130474,06
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.35,526.3456808857894,06
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.4,577.7632344471066,06
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.45,619.5428848239645,06
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.5,658.3749348881056,06
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.55,704.1875762921139,06
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.6,751.457603769858,06
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.65,801.5330984291569,06
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.7,875.4090038788875,06
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.75,930.2824096235952,06
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.8,1031.1658690767772,06
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.85,1215.8200540570808,06
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.9,1471.8209439004434,06
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.95,2037.0706435190164,06
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.975,4088.823096395637,06
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.99,8207.155463432788,06
2024-01-13,wk inc flu hosp,2,2024-01-27,quantile,0.01,16.81264418330857,06
2024-01-13,wk inc flu hosp,2,2024-01-27,quantile,0.025,54.03416513597623,06
2024-01-13,wk inc flu hosp,2,2024-01-27,quantile,0.05,96.22881947948784,06
2024-01-13,wk inc flu hosp,2,2024-01-27,quantile,0.1,164.0093590997036,06
2024-01-13,wk inc flu hosp,2,2024-01-27,quantile,0.15,229.3113154469503,06
2024-01-13,wk inc flu hosp,2,2024-01-27,quantile,0.2,271.26914620345053,06
2024-01-13,wk inc flu hosp,2,2024-01-27,quantile,0.25,306.5747530539602,06
2024-01-13,wk inc flu hosp,2,2024-01-27,quantile,0.3,348.26456429734213,06
2024-01-13,wk inc flu hosp,2,2024-01-27,quantile,0.35,379.0763898839399,06
2024-01-13,wk inc flu hosp,2,2024-01-27,quantile,0.4,417.922975618584,06
2024-01-13,wk inc flu hosp,2,2024-01-27,quantile,0.45,453.4051614518255,06
2024-01-13,wk inc flu hosp,2,2024-01-27,quantile,0.5,499.894270076426,06
2024-01-13,wk inc flu hosp,2,2024-01-27,quantile,0.55,540.0562781264941,06
2024-01-13,wk inc flu hosp,2,2024-01-27,quantile,0.6,589.4247202004908,06
2024-01-13,wk inc flu hosp,2,2024-01-27,quantile,0.65,651.6574268600918,06
2024-01-13,wk inc flu hosp,2,2024-01-27,quantile,0.7,715.6510648110401,06
2024-01-13,wk inc flu hosp,2,2024-01-27,quantile,0.75,790.7858057567325,06
2024-01-13,wk inc flu hosp,2,2024-01-27,quantile,0.8,903.144081418115,06
2024-01-13,wk inc flu hosp,2,2024-01-27,quantile,0.85,1098.5893768436597,06
2024-01-13,wk inc flu hosp,2,2024-01-27,quantile,0.9,1398.7585733402443,06
2024-01-13,wk inc flu hosp,2,2024-01-27,quantile,0.95,2098.4094058563182,06
2024-01-13,wk inc flu hosp,2,2024-01-27,quantile,0.975,3481.4839483245396,06
2024-01-13,wk inc flu hosp,2,2024-01-27,quantile,0.99,6715.389740151218,06
2024-01-13,wk inc flu hosp,3,2024-02-03,quantile,0.01,16.239346225915636,06
2024-01-13,wk inc flu hosp,3,2024-02-03,quantile,0.025,44.7656134580265,06
2024-01-13,wk inc flu hosp,3,2024-02-03,quantile,0.05,77.5926923486873,06
2024-01-13,wk inc flu hosp,3,2024-02-03,quantile,0.1,143.3268209053482,06
2024-01-13,wk inc flu hosp,3,2024-02-03,quantile,0.15,185.7586460816152,06
2024-01-13,wk inc flu hosp,3,2024-02-03,quantile,0.2,227.43717690604765,06
2024-01-13,wk inc flu hosp,3,2024-02-03,quantile,0.25,265.1060538035138,06
2024-01-13,wk inc flu hosp,3,2024-02-03,quantile,0.3,298.8092691722961,06
2024-01-13,wk inc flu hosp,3,2024-02-03,quantile,0.35,341.3498949225775,06
2024-01-13,wk inc flu hosp,3,2024-02-03,quantile,0.4,379.59726234136986,06
2024-01-13,wk inc flu hosp,3,2024-02-03,quantile,0.45,411.8942607107409,06
2024-01-13,wk inc flu hosp,3,2024-02-03,quantile,0.5,453.04568112839945,06
2024-01-13,wk inc flu hosp,3,2024-02-03,quantile,0.55,503.32943673290816,06
2024-01-13,wk inc flu hosp,3,2024-02-03,quantile,0.6,562.7192737583638,06
2024-01-13,wk inc flu hosp,3,2024-02-03,quantile,0.65,608.5824786247332,06
2024-01-13,wk inc flu hosp,3,2024-02-03,quantile,0.7,711.196378943519,06
2024-01-13,wk inc flu hosp,3,2024-02-03,quantile,0.75,789.8344452856165,06
2024-01-13,wk inc flu hosp,3,2024-02-03,quantile,0.8,948.9969913784332,06
2024-01-13,wk inc flu hosp,3,2024-02-03,quantile,0.85,1162.5021055395223,06
2024-01-13,wk inc flu hosp,3,2024-02-03,quantile,0.9,1436.6585250336204,06
2024-01-13,wk inc flu hosp,3,2024-02-03,quantile,0.95,2305.948678541261,06
2024-01-13,wk inc flu hosp,3,2024-02-03,quantile,0.975,3390.2742750734155,06
2024-01-13,wk inc flu hosp,3,2024-02-03,quantile,0.99,5189.240435133841,06
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.01,56.62987011735661,08
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.025,73.61152920376549,08
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.05,102.8626516630224,08
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.1,138.53705644080924,08
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.15,163.60824587903795,08
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.2,175.76514719060756,08
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.25,187.55787341349108,08
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.3,193.00975929047576,08
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.35,197.60212587893687,08
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.4,199.9001543545528,08
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.45,203.2209328251646,08
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.5,208.2008696141029,08
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.55,217.16264086329576,08
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.6,236.9201181092139,08
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.65,255.130671855959,08
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.7,272.9990457324044,08
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.75,287.9046643969972,08
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.8,312.3967110174773,08
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.85,347.4216844543925,08
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.9,374.8472050745656,08
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.95,490.0153304303054,08
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.975,685.5105160168686,08
2024-01-13,wk inc flu hosp,0,2024-01-13,quantile,0.99,1324.1144780872694,08
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.01,18.461750964566633,08
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.025,40.353199037159015,08
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.05,56.23039963788843,08
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.1,75.61121252969976,08
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.15,92.14577234771542,08
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.2,105.915227196055,08
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.25,119.00244494935517,08
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.3,127.05177101495708,08
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.35,133.3789683599125,08
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.4,139.00930441053447,08
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.45,149.92132976396442,08
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.5,161.26163505530758,08
2024-01-13,wk inc flu hosp,1,2024-01-20,quantile,0.55,174.40037587185975,08
