reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2023-12-16,wk inc flu hosp,0,2023-12-16,02,quantile,0.01,2.58
2023-12-16,wk inc flu hosp,1,2023-12-23,02,quantile,0.01,1.644
2023-12-16,wk inc flu hosp,2,2023-12-30,02,quantile,0.01,1.537
2023-12-16,wk inc flu hosp,3,2024-01-06,02,quantile,0.01,0.485
2023-12-16,wk inc flu hosp,0,2023-12-16,02,quantile,0.025,3.15
2023-12-16,wk inc flu hosp,1,2023-12-23,02,quantile,0.025,2.236
2023-12-16,wk inc flu hosp,2,2023-12-30,02,quantile,0.025,1.905
2023-12-16,wk inc flu hosp,3,2024-01-06,02,quantile,0.025,1.241
2023-12-16,wk inc flu hosp,0,2023-12-16,02,quantile,0.05,3.927
2023-12-16,wk inc flu hosp,1,2023-12-23,02,quantile,0.05,2.946
2023-12-16,wk inc flu hosp,2,2023-12-30,02,quantile,0.05,2.441
2023-12-16,wk inc flu hosp,3,2024-01-06,02,quantile,0.05,1.878
2023-12-16,wk inc flu hosp,0,2023-12-16,02,quantile,0.1,4.705
2023-12-16,wk inc flu hosp,1,2023-12-23,02,quantile,0.1,3.83
2023-12-16,wk inc flu hosp,2,2023-12-30,02,quantile,0.1,3.076
2023-12-16,wk inc flu hosp,3,2024-01-06,02,quantile,0.1,2.53
2023-12-16,wk inc flu hosp,0,2023-12-16,02,quantile,0.15,5.425
2023-12-16,wk inc flu hosp,1,2023-12-23,02,quantile,0.15,4.489
2023-12-16,wk inc flu hosp,2,2023-12-30,02,quantile,0.15,3.514
2023-12-16,wk inc flu hosp,3,2024-01-06,02,quantile,0.15,3.145
2023-12-16,wk inc flu hosp,0,2023-12-16,02,quantile,0.2,5.952
2023-12-16,wk inc flu hosp,1,2023-12-23,02,quantile,0.2,5.047
2023-12-16,wk inc flu hosp,2,2023-12-30,02,quantile,0.2,4.119
2023-12-16,wk inc flu hosp,3,2024-01-06,02,quantile,0.2,3.564
2023-12-16,wk inc flu hosp,0,2023-12-16,02,quantile,0.25,6.499
2023-12-16,wk inc flu hosp,1,2023-12-23,02,quantile,0.25,5.368
2023-12-16,wk inc flu hosp,2,2023-12-30,02,quantile,0.25,4.634
2023-12-16,wk inc flu hosp,3,2024-01-06,02,quantile,0.25,3.907
2023-12-16,wk inc flu hosp,0,2023-12-16,02,quantile,0.3,6.967
2023-12-16,wk inc flu hosp,1,2023-12-23,02,quantile,0.3,5.796
2023-12-16,wk inc flu hosp,2,2023-12-30,02,quantile,0.3,5.105
2023-12-16,wk inc flu hosp,3,2024-01-06,02,quantile,0.3,4.371
