reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2023-12-02,wk inc flu hosp,0,2023-12-02,US,quantile,0.01,3266.02
2023-12-02,wk inc flu hosp,0,2023-12-02,US,quantile,0.025,3387.94
2023-12-02,wk inc flu hosp,0,2023-12-02,US,quantile,0.05,3478.05
2023-12-02,wk inc flu hosp,0,2023-12-02,US,quantile,0.1,3676.55
2023-12-02,wk inc flu hosp,0,2023-12-02,US,quantile,0.15,3973.65
2023-12-02,wk inc flu hosp,0,2023-12-02,US,quantile,0.2,4168.65
2023-12-02,wk inc flu hosp,0,2023-12-02,US,quantile,0.25,4377.59
2023-12-02,wk inc flu hosp,0,2023-12-02,US,quantile,0.3,4521.06
2023-12-02,wk inc flu hosp,0,2023-12-02,US,quantile,0.35,4764.23
2023-12-02,wk inc flu hosp,0,2023-12-02,US,quantile,0.4,4989.96
2023-12-02,wk inc flu hosp,0,2023-12-02,US,quantile,0.45,5148.5
2023-12-02,wk inc flu hosp,0,2023-12-02,US,quantile,0.5,5310.21
2023-12-02,wk inc flu hosp,0,2023-12-02,US,quantile,0.55,5472.84
2023-12-02,wk inc flu hosp,0,2023-12-02,US,quantile,0.6,5625.13
2023-12-02,wk inc flu hosp,0,2023-12-02,US,quantile,0.65,5773.87
2023-12-02,wk inc flu hosp,0,2023-12-02,US,quantile,0.7,5895.78
2023-12-02,wk inc flu hosp,0,2023-12-02,US,quantile,0.75,6087.46
2023-12-02,wk inc flu hosp,0,2023-12-02,US,quantile,0.8,6217.67
2023-12-02,wk inc flu hosp,0,2023-12-02,US,quantile,0.85,6375.94
2023-12-02,wk inc flu hosp,0,2023-12-02,US,quantile,0.9,6623.26
2023-12-02,wk inc flu hosp,0,2023-12-02,US,quantile,0.95,6845.45
2023-12-02,wk inc flu hosp,0,2023-12-02,US,quantile,0.975,7081.19
2023-12-02,wk inc flu hosp,0,2023-12-02,US,quantile,0.99,7175.73
2023-12-02,wk inc flu hosp,1,2023-12-09,US,quantile,0.01,3122.52
2023-12-02,wk inc flu hosp,1,2023-12-09,US,quantile,0.025,3332.72
2023-12-02,wk inc flu hosp,1,2023-12-09,US,quantile,0.05,3587.54
2023-12-02,wk inc flu hosp,1,2023-12-09,US,quantile,0.1,3928.12
2023-12-02,wk inc flu hosp,1,2023-12-09,US,quantile,0.15,4167.44
2023-12-02,wk inc flu hosp,1,2023-12-09,US,quantile,0.2,4447.07
2023-12-02,wk inc flu hosp,1,2023-12-09,US,quantile,0.25,4744.97
2023-12-02,wk inc flu hosp,1,2023-12-09,US,quantile,0.3,5068.42
2023-12-02,wk inc flu hosp,1,2023-12-09,US,quantile,0.35,5419.33
2023-12-02,wk inc flu hosp,1,2023-12-09,US,quantile,0.4,5727.48
2023-12-02,wk inc flu hosp,1,2023-12-09,US,quantile,0.45,6014.98
2023-12-02,wk inc flu hosp,1,2023-12-09,US,quantile,0.5,6249.06
2023-12-02,wk inc flu hosp,1,2023-12-09,US,quantile,0.55,6524.76
2023-12-02,wk inc flu hosp,1,2023-12-09,US,quantile,0.6,6739.19
2023-12-02,wk inc flu hosp,1,2023-12-09,US,quantile,0.65,7029.52
2023-12-02,wk inc flu hosp,1,2023-12-09,US,quantile,0.7,7348.23
2023-12-02,wk inc flu hosp,1,2023-12-09,US,quantile,0.75,7578.64
2023-12-02,wk inc flu hosp,1,2023-12-09,US,quantile,0.8,7830.57
2023-12-02,wk inc flu hosp,1,2023-12-09,US,quantile,0.85,8093.07
2023-12-02,wk inc flu hosp,1,2023-12-09,US,quantile,0.9,8330.42
2023-12-02,wk inc flu hosp,1,2023-12-09,US,quantile,0.95,8665.81
2023-12-02,wk inc flu hosp,1,2023-12-09,US,quantile,0.975,9027.23
2023-12-02,wk inc flu hosp,1,2023-12-09,US,quantile,0.99,9267.54
2023-12-02,wk inc flu hosp,2,2023-12-16,US,quantile,0.01,2828
2023-12-02,wk inc flu hosp,2,2023-12-16,US,quantile,0.025,3082.86
2023-12-02,wk inc flu hosp,2,2023-12-16,US,quantile,0.05,3380.5
2023-12-02,wk inc flu hosp,2,2023-12-16,US,quantile,0.1,3865.04
2023-12-02,wk inc flu hosp,2,2023-12-16,US,quantile,0.15,4344.9
2023-12-02,wk inc flu hosp,2,2023-12-16,US,quantile,0.2,4708.7
2023-12-02,wk inc flu hosp,2,2023-12-16,US,quantile,0.25,5001.15
2023-12-02,wk inc flu hosp,2,2023-12-16,US,quantile,0.3,5310.75
2023-12-02,wk inc flu hosp,2,2023-12-16,US,quantile,0.35,5741.45
2023-12-02,wk inc flu hosp,2,2023-12-16,US,quantile,0.4,6198.87
2023-12-02,wk inc flu hosp,2,2023-12-16,US,quantile,0.45,6745.89
2023-12-02,wk inc flu hosp,2,2023-12-16,US,quantile,0.5,7203.8
2023-12-02,wk inc flu hosp,2,2023-12-16,US,quantile,0.55,7545.64
2023-12-02,wk inc flu hosp,2,2023-12-16,US,quantile,0.6,7934.44
2023-12-02,wk inc flu hosp,2,2023-12-16,US,quantile,0.65,8261.2
2023-12-02,wk inc flu hosp,2,2023-12-16,US,quantile,0.7,8766.8
2023-12-02,wk inc flu hosp,2,2023-12-16,US,quantile,0.75,9210.59
2023-12-02,wk inc flu hosp,2,2023-12-16,US,quantile,0.8,9712.06
2023-12-02,wk inc flu hosp,2,2023-12-16,US,quantile,0.85,10150.64
2023-12-02,wk inc flu hosp,2,2023-12-16,US,quantile,0.9,10521.98
2023-12-02,wk inc flu hosp,2,2023-12-16,US,quantile,0.95,11329.15
