reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2024-01-13,0,wk inc flu hosp,2024-01-13,01,quantile,0.01,278
2024-01-13,0,wk inc flu hosp,2024-01-13,01,quantile,0.025,296
2024-01-13,0,wk inc flu hosp,2024-01-13,01,quantile,0.05,312
2024-01-13,0,wk inc flu hosp,2024-01-13,01,quantile,0.1,331
2024-01-13,0,wk inc flu hosp,2024-01-13,01,quantile,0.15,344
2024-01-13,0,wk inc flu hosp,2024-01-13,01,quantile,0.2,355
2024-01-13,0,wk inc flu hosp,2024-01-13,01,quantile,0.25,364
2024-01-13,0,wk inc flu hosp,2024-01-13,01,quantile,0.3,373
2024-01-13,0,wk inc flu hosp,2024-01-13,01,quantile,0.35,381
2024-01-13,0,wk inc flu hosp,2024-01-13,01,quantile,0.4,389
2024-01-13,0,wk inc flu hosp,2024-01-13,01,quantile,0.45,396
2024-01-13,0,wk inc flu hosp,2024-01-13,01,quantile,0.5,404
2024-01-13,0,wk inc flu hosp,2024-01-13,01,quantile,0.55,411
2024-01-13,0,wk inc flu hosp,2024-01-13,01,quantile,0.6,419
2024-01-13,0,wk inc flu hosp,2024-01-13,01,quantile,0.65,427
2024-01-13,0,wk inc flu hosp,2024-01-13,01,quantile,0.7,436
2024-01-13,0,wk inc flu hosp,2024-01-13,01,quantile,0.75,445
2024-01-13,0,wk inc flu hosp,2024-01-13,01,quantile,0.8,456
2024-01-13,0,wk inc flu hosp,2024-01-13,01,quantile,0.85,469
2024-01-13,0,wk inc flu hosp,2024-01-13,01,quantile,0.9,485
2024-01-13,0,wk inc flu hosp,2024-01-13,01,quantile,0.95,510
2024-01-13,0,wk inc flu hosp,2024-01-13,01,quantile,0.975,532
2024-01-13,0,wk inc flu hosp,2024-01-13,01,quantile,0.99,558
2024-01-13,0,wk inc flu hosp,2024-01-13,02,quantile,0.01,0
2024-01-13,0,wk inc flu hosp,2024-01-13,02,quantile,0.025,0
2024-01-13,0,wk inc flu hosp,2024-01-13,02,quantile,0.05,0
2024-01-13,0,wk inc flu hosp,2024-01-13,02,quantile,0.1,1
2024-01-13,0,wk inc flu hosp,2024-01-13,02,quantile,0.15,1
2024-01-13,0,wk inc flu hosp,2024-01-13,02,quantile,0.2,2
2024-01-13,0,wk inc flu hosp,2024-01-13,02,quantile,0.25,2
2024-01-13,0,wk inc flu hosp,2024-01-13,02,quantile,0.3,3
2024-01-13,0,wk inc flu hosp,2024-01-13,02,quantile,0.35,3
2024-01-13,0,wk inc flu hosp,2024-01-13,02,quantile,0.4,4
2024-01-13,0,wk inc flu hosp,2024-01-13,02,quantile,0.45,4
2024-01-13,0,wk inc flu hosp,2024-01-13,02,quantile,0.5,5
2024-01-13,0,wk inc flu hosp,2024-01-13,02,quantile,0.55,5
2024-01-13,0,wk inc flu hosp,2024-01-13,02,quantile,0.6,6
2024-01-13,0,wk inc flu hosp,2024-01-13,02,quantile,0.65,7
2024-01-13,0,wk inc flu hosp,2024-01-13,02,quantile,0.7,8
2024-01-13,0,wk inc flu hosp,2024-01-13,02,quantile,0.75,9
2024-01-13,0,wk inc flu hosp,2024-01-13,02,quantile,0.8,10
2024-01-13,0,wk inc flu hosp,2024-01-13,02,quantile,0.85,11
2024-01-13,0,wk inc flu hosp,2024-01-13,02,quantile,0.9,13
2024-01-13,0,wk inc flu hosp,2024-01-13,02,quantile,0.95,16
