reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2023-12-09,0,wk inc flu hosp,2023-12-09,01,quantile,0.01,14
2023-12-09,1,wk inc flu hosp,2023-12-16,01,quantile,0.01,0
2023-12-09,2,wk inc flu hosp,2023-12-23,01,quantile,0.01,0
2023-12-09,3,wk inc flu hosp,2023-12-30,01,quantile,0.01,0
2023-12-09,0,wk inc flu hosp,2023-12-09,01,quantile,0.025,25
2023-12-09,1,wk inc flu hosp,2023-12-16,01,quantile,0.025,6
2023-12-09,2,wk inc flu hosp,2023-12-23,01,quantile,0.025,0
2023-12-09,3,wk inc flu hosp,2023-12-30,01,quantile,0.025,0
2023-12-09,0,wk inc flu hosp,2023-12-09,01,quantile,0.05,34
2023-12-09,1,wk inc flu hosp,2023-12-16,01,quantile,0.05,18
2023-12-09,2,wk inc flu hosp,2023-12-23,01,quantile,0.05,8
2023-12-09,3,wk inc flu hosp,2023-12-30,01,quantile,0.05,1
2023-12-09,0,wk inc flu hosp,2023-12-09,01,quantile,0.1,45
2023-12-09,1,wk inc flu hosp,2023-12-16,01,quantile,0.1,33
2023-12-09,2,wk inc flu hosp,2023-12-23,01,quantile,0.1,25
2023-12-09,3,wk inc flu hosp,2023-12-30,01,quantile,0.1,20
2023-12-09,0,wk inc flu hosp,2023-12-09,01,quantile,0.15,52
2023-12-09,1,wk inc flu hosp,2023-12-16,01,quantile,0.15,42
2023-12-09,2,wk inc flu hosp,2023-12-23,01,quantile,0.15,37
2023-12-09,3,wk inc flu hosp,2023-12-30,01,quantile,0.15,32
2023-12-09,0,wk inc flu hosp,2023-12-09,01,quantile,0.2,58
2023-12-09,1,wk inc flu hosp,2023-12-16,01,quantile,0.2,50
2023-12-09,2,wk inc flu hosp,2023-12-23,01,quantile,0.2,46
2023-12-09,3,wk inc flu hosp,2023-12-30,01,quantile,0.2,43
2023-12-09,0,wk inc flu hosp,2023-12-09,01,quantile,0.25,63
2023-12-09,1,wk inc flu hosp,2023-12-16,01,quantile,0.25,56
2023-12-09,2,wk inc flu hosp,2023-12-23,01,quantile,0.25,53
2023-12-09,3,wk inc flu hosp,2023-12-30,01,quantile,0.25,51
2023-12-09,0,wk inc flu hosp,2023-12-09,01,quantile,0.3,68
2023-12-09,1,wk inc flu hosp,2023-12-16,01,quantile,0.3,62
2023-12-09,2,wk inc flu hosp,2023-12-23,01,quantile,0.3,60
2023-12-09,3,wk inc flu hosp,2023-12-30,01,quantile,0.3,59
