reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.01,1161
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.025,1433
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.05,1689
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.1,2199
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.15,2482
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.2,2705
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.25,2958
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.3,3224
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.35,3463
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.4,3674
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.45,3868
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.5,4158
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.55,4405
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.6,4700
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.65,4965
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.7,5293
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.75,5576
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.8,6023
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.85,6515
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.9,7245
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.95,8285
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.975,9235
2024-04-13,wk inc flu hosp,0,2024-04-13,US,quantile,0.99,10660
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.01,949
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.025,1253
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.05,1593
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.1,1953
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.15,2224
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.2,2510
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.25,2764
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.3,3004
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.35,3180
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.4,3386
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.45,3621
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.5,3880
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.55,4163
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.6,4396
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.65,4672
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.7,4965
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.75,5280
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.8,5679
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.85,6093
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.9,6602
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.95,7782
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.975,8851
2024-04-13,wk inc flu hosp,1,2024-04-20,US,quantile,0.99,10650
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.01,1046
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.025,1282
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.05,1613
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.1,1939
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.15,2252
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.2,2466
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.25,2704
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.3,2898
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.35,3148
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.4,3411
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.45,3646
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.5,3880
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.55,4149
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.6,4390
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.65,4678
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.7,4969
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.75,5316
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.8,5711
2024-04-13,wk inc flu hosp,2,2024-04-27,US,quantile,0.85,6146
