reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2023-10-14,wk inc flu hosp,0,2023-10-14,01,quantile,0.01,5
2023-10-14,wk inc flu hosp,0,2023-10-14,01,quantile,0.025,6
2023-10-14,wk inc flu hosp,0,2023-10-14,01,quantile,0.05,9
2023-10-14,wk inc flu hosp,0,2023-10-14,01,quantile,0.1,11
2023-10-14,wk inc flu hosp,0,2023-10-14,01,quantile,0.15,13
2023-10-14,wk inc flu hosp,0,2023-10-14,01,quantile,0.2,15
2023-10-14,wk inc flu hosp,0,2023-10-14,01,quantile,0.25,17
2023-10-14,wk inc flu hosp,0,2023-10-14,01,quantile,0.3,19
2023-10-14,wk inc flu hosp,0,2023-10-14,01,quantile,0.35,20
2023-10-14,wk inc flu hosp,0,2023-10-14,01,quantile,0.4,21
2023-10-14,wk inc flu hosp,0,2023-10-14,01,quantile,0.45,23
2023-10-14,wk inc flu hosp,0,2023-10-14,01,quantile,0.5,25
2023-10-14,wk inc flu hosp,0,2023-10-14,01,quantile,0.55,26
2023-10-14,wk inc flu hosp,0,2023-10-14,01,quantile,0.6,28
2023-10-14,wk inc flu hosp,0,2023-10-14,01,quantile,0.65,30
2023-10-14,wk inc flu hosp,0,2023-10-14,01,quantile,0.7,33
2023-10-14,wk inc flu hosp,0,2023-10-14,01,quantile,0.75,35
2023-10-14,wk inc flu hosp,0,2023-10-14,01,quantile,0.8,39
2023-10-14,wk inc flu hosp,0,2023-10-14,01,quantile,0.85,43
2023-10-14,wk inc flu hosp,0,2023-10-14,01,quantile,0.9,48
2023-10-14,wk inc flu hosp,0,2023-10-14,01,quantile,0.95,58
2023-10-14,wk inc flu hosp,0,2023-10-14,01,quantile,0.975,66
2023-10-14,wk inc flu hosp,0,2023-10-14,01,quantile,0.99,74
2023-10-14,wk inc flu hosp,1,2023-10-21,01,quantile,0.01,5
2023-10-14,wk inc flu hosp,1,2023-10-21,01,quantile,0.025,7
2023-10-14,wk inc flu hosp,1,2023-10-21,01,quantile,0.05,9
2023-10-14,wk inc flu hosp,1,2023-10-21,01,quantile,0.1,11
2023-10-14,wk inc flu hosp,1,2023-10-21,01,quantile,0.15,14
2023-10-14,wk inc flu hosp,1,2023-10-21,01,quantile,0.2,16
2023-10-14,wk inc flu hosp,1,2023-10-21,01,quantile,0.25,18
2023-10-14,wk inc flu hosp,1,2023-10-21,01,quantile,0.3,19
2023-10-14,wk inc flu hosp,1,2023-10-21,01,quantile,0.35,21
2023-10-14,wk inc flu hosp,1,2023-10-21,01,quantile,0.4,23
2023-10-14,wk inc flu hosp,1,2023-10-21,01,quantile,0.45,24
2023-10-14,wk inc flu hosp,1,2023-10-21,01,quantile,0.5,27
2023-10-14,wk inc flu hosp,1,2023-10-21,01,quantile,0.55,29
2023-10-14,wk inc flu hosp,1,2023-10-21,01,quantile,0.6,31
2023-10-14,wk inc flu hosp,1,2023-10-21,01,quantile,0.65,34
2023-10-14,wk inc flu hosp,1,2023-10-21,01,quantile,0.7,36
2023-10-14,wk inc flu hosp,1,2023-10-21,01,quantile,0.75,39
2023-10-14,wk inc flu hosp,1,2023-10-21,01,quantile,0.8,43
2023-10-14,wk inc flu hosp,1,2023-10-21,01,quantile,0.85,49
2023-10-14,wk inc flu hosp,1,2023-10-21,01,quantile,0.9,55
2023-10-14,wk inc flu hosp,1,2023-10-21,01,quantile,0.95,68
2023-10-14,wk inc flu hosp,1,2023-10-21,01,quantile,0.975,80
2023-10-14,wk inc flu hosp,1,2023-10-21,01,quantile,0.99,99
2023-10-14,wk inc flu hosp,2,2023-10-28,01,quantile,0.01,5
2023-10-14,wk inc flu hosp,2,2023-10-28,01,quantile,0.025,7
2023-10-14,wk inc flu hosp,2,2023-10-28,01,quantile,0.05,9
2023-10-14,wk inc flu hosp,2,2023-10-28,01,quantile,0.1,12
2023-10-14,wk inc flu hosp,2,2023-10-28,01,quantile,0.15,14
2023-10-14,wk inc flu hosp,2,2023-10-28,01,quantile,0.2,16
2023-10-14,wk inc flu hosp,2,2023-10-28,01,quantile,0.25,18
