reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2023-11-11,wk inc flu hosp,0,2023-11-11,US,quantile,0.01,466.3620384059314
2023-11-11,wk inc flu hosp,0,2023-11-11,US,quantile,0.025,517.1145007491435
2023-11-11,wk inc flu hosp,0,2023-11-11,US,quantile,0.05,566.3335232068993
2023-11-11,wk inc flu hosp,0,2023-11-11,US,quantile,0.1,1545.0714170042615
2023-11-11,wk inc flu hosp,0,2023-11-11,US,quantile,0.15,1662.545444174145
2023-11-11,wk inc flu hosp,0,2023-11-11,US,quantile,0.2,1765.9671041889308
2023-11-11,wk inc flu hosp,0,2023-11-11,US,quantile,0.25,1816.9260156801072
2023-11-11,wk inc flu hosp,0,2023-11-11,US,quantile,0.3,1873.417286991275
2023-11-11,wk inc flu hosp,0,2023-11-11,US,quantile,0.35,1918.6584636219015
2023-11-11,wk inc flu hosp,0,2023-11-11,US,quantile,0.4,1957.7471476693308
2023-11-11,wk inc flu hosp,0,2023-11-11,US,quantile,0.45,1997.7417430496223
2023-11-11,wk inc flu hosp,0,2023-11-11,US,quantile,0.5,2034.757922619548
2023-11-11,wk inc flu hosp,0,2023-11-11,US,quantile,0.55,2073.2342576880787
2023-11-11,wk inc flu hosp,0,2023-11-11,US,quantile,0.6,2115.7706696350338
2023-11-11,wk inc flu hosp,0,2023-11-11,US,quantile,0.65,2157.724278726032
2023-11-11,wk inc flu hosp,0,2023-11-11,US,quantile,0.7,2207.9963095077537
2023-11-11,wk inc flu hosp,0,2023-11-11,US,quantile,0.75,2272.9167661992897
2023-11-11,wk inc flu hosp,0,2023-11-11,US,quantile,0.8,2339.001366254791
2023-11-11,wk inc flu hosp,0,2023-11-11,US,quantile,0.85,2461.855243688417
2023-11-11,wk inc flu hosp,0,2023-11-11,US,quantile,0.9,2612.4553718374204
2023-11-11,wk inc flu hosp,0,2023-11-11,US,quantile,0.95,3765.3481012481343
2023-11-11,wk inc flu hosp,0,2023-11-11,US,quantile,0.975,4141.591764271892
2023-11-11,wk inc flu hosp,0,2023-11-11,US,quantile,0.99,6812.683955704911
2023-11-11,wk inc flu hosp,1,2023-11-18,US,quantile,0.01,406.1815673869333
2023-11-11,wk inc flu hosp,1,2023-11-18,US,quantile,0.025,457.8421675480671
2023-11-11,wk inc flu hosp,1,2023-11-18,US,quantile,0.05,509.2785035114558
2023-11-11,wk inc flu hosp,1,2023-11-18,US,quantile,0.1,669.4908161591637
2023-11-11,wk inc flu hosp,1,2023-11-18,US,quantile,0.15,1498.3980575639798
2023-11-11,wk inc flu hosp,1,2023-11-18,US,quantile,0.2,1666.8499353016791
2023-11-11,wk inc flu hosp,1,2023-11-18,US,quantile,0.25,1773.6239785282196
2023-11-11,wk inc flu hosp,1,2023-11-18,US,quantile,0.3,1859.2954848448337
2023-11-11,wk inc flu hosp,1,2023-11-18,US,quantile,0.35,1928.4943120533285
2023-11-11,wk inc flu hosp,1,2023-11-18,US,quantile,0.4,1990.7962577175867
2023-11-11,wk inc flu hosp,1,2023-11-18,US,quantile,0.45,2050.538950913329
2023-11-11,wk inc flu hosp,1,2023-11-18,US,quantile,0.5,2107.432217979188
2023-11-11,wk inc flu hosp,1,2023-11-18,US,quantile,0.55,2167.0035305301444
2023-11-11,wk inc flu hosp,1,2023-11-18,US,quantile,0.6,2229.44771432286
2023-11-11,wk inc flu hosp,1,2023-11-18,US,quantile,0.65,2296.439577161046
2023-11-11,wk inc flu hosp,1,2023-11-18,US,quantile,0.7,2374.707550066601
2023-11-11,wk inc flu hosp,1,2023-11-18,US,quantile,0.75,2471.0441256691056
2023-11-11,wk inc flu hosp,1,2023-11-18,US,quantile,0.8,2593.510656770308
2023-11-11,wk inc flu hosp,1,2023-11-18,US,quantile,0.85,2798.881636396113
2023-11-11,wk inc flu hosp,1,2023-11-18,US,quantile,0.9,3764.7516182293152
2023-11-11,wk inc flu hosp,1,2023-11-18,US,quantile,0.95,4378.156942088724
2023-11-11,wk inc flu hosp,1,2023-11-18,US,quantile,0.975,6747.476097272746
2023-11-11,wk inc flu hosp,1,2023-11-18,US,quantile,0.99,7774.4005441988675
2023-11-11,wk inc flu hosp,2,2023-11-25,US,quantile,0.01,400.20733694891265
2023-11-11,wk inc flu hosp,2,2023-11-25,US,quantile,0.025,471.21429471549914
2023-11-11,wk inc flu hosp,2,2023-11-25,US,quantile,0.05,536.4784930736754
2023-11-11,wk inc flu hosp,2,2023-11-25,US,quantile,0.1,622.4505673379231
2023-11-11,wk inc flu hosp,2,2023-11-25,US,quantile,0.15,872.6169714204469
2023-11-11,wk inc flu hosp,2,2023-11-25,US,quantile,0.2,1546.590736228701
2023-11-11,wk inc flu hosp,2,2023-11-25,US,quantile,0.25,1738.8591535630692
2023-11-11,wk inc flu hosp,2,2023-11-25,US,quantile,0.3,1862.231846896262
2023-11-11,wk inc flu hosp,2,2023-11-25,US,quantile,0.35,1964.724656278873
2023-11-11,wk inc flu hosp,2,2023-11-25,US,quantile,0.4,2054.903389640308
2023-11-11,wk inc flu hosp,2,2023-11-25,US,quantile,0.45,2139.576200533575
2023-11-11,wk inc flu hosp,2,2023-11-25,US,quantile,0.5,2221.705301894709
2023-11-11,wk inc flu hosp,2,2023-11-25,US,quantile,0.55,2306.0034703653673
2023-11-11,wk inc flu hosp,2,2023-11-25,US,quantile,0.6,2396.933581169035
2023-11-11,wk inc flu hosp,2,2023-11-25,US,quantile,0.65,2497.2290716965413
2023-11-11,wk inc flu hosp,2,2023-11-25,US,quantile,0.7,2613.0822608920084
2023-11-11,wk inc flu hosp,2,2023-11-25,US,quantile,0.75,2755.576632138536
2023-11-11,wk inc flu hosp,2,2023-11-25,US,quantile,0.8,2984.1701170893048
2023-11-11,wk inc flu hosp,2,2023-11-25,US,quantile,0.85,3775.146546239109
2023-11-11,wk inc flu hosp,2,2023-11-25,US,quantile,0.9,4265.908710991349
2023-11-11,wk inc flu hosp,2,2023-11-25,US,quantile,0.95,6026.902150777364
2023-11-11,wk inc flu hosp,2,2023-11-25,US,quantile,0.975,7500.075006253086
2023-11-11,wk inc flu hosp,2,2023-11-25,US,quantile,0.99,8582.974999590291
2023-11-11,wk inc flu hosp,3,2023-12-02,US,quantile,0.01,442.5290144507205
2023-11-11,wk inc flu hosp,3,2023-12-02,US,quantile,0.025,524.6122401800465
2023-11-11,wk inc flu hosp,3,2023-12-02,US,quantile,0.05,602.0711698617348
2023-11-11,wk inc flu hosp,3,2023-12-02,US,quantile,0.1,702.6622687999942
2023-11-11,wk inc flu hosp,3,2023-12-02,US,quantile,0.15,772.3159165215959
2023-11-11,wk inc flu hosp,3,2023-12-02,US,quantile,0.2,1193.8946064143374
2023-11-11,wk inc flu hosp,3,2023-12-02,US,quantile,0.25,1697.2274594513146
2023-11-11,wk inc flu hosp,3,2023-12-02,US,quantile,0.3,1878.8636457765035
2023-11-11,wk inc flu hosp,3,2023-12-02,US,quantile,0.35,2012.6999502907263
2023-11-11,wk inc flu hosp,3,2023-12-02,US,quantile,0.4,2126.784702954462
2023-11-11,wk inc flu hosp,3,2023-12-02,US,quantile,0.45,2233.084413837908
2023-11-11,wk inc flu hosp,3,2023-12-02,US,quantile,0.5,2338.212451884288
2023-11-11,wk inc flu hosp,3,2023-12-02,US,quantile,0.55,2444.1395359299163
2023-11-11,wk inc flu hosp,3,2023-12-02,US,quantile,0.6,2557.3086433731464
2023-11-11,wk inc flu hosp,3,2023-12-02,US,quantile,0.65,2683.1883251017607
2023-11-11,wk inc flu hosp,3,2023-12-02,US,quantile,0.7,2835.225409622301
2023-11-11,wk inc flu hosp,3,2023-12-02,US,quantile,0.75,3054.988407129272
2023-11-11,wk inc flu hosp,3,2023-12-02,US,quantile,0.8,3652.878654349187
2023-11-11,wk inc flu hosp,3,2023-12-02,US,quantile,0.85,4171.030011823285
2023-11-11,wk inc flu hosp,3,2023-12-02,US,quantile,0.9,4679.942670072646
2023-11-11,wk inc flu hosp,3,2023-12-02,US,quantile,0.95,6899.427590840925
2023-11-11,wk inc flu hosp,3,2023-12-02,US,quantile,0.975,7924.353134803309
2023-11-11,wk inc flu hosp,3,2023-12-02,US,quantile,0.99,9090.19762596676
2023-11-11,wk flu hosp rate change,0,2023-11-11,US,pmf,large_decrease,0
2023-11-11,wk flu hosp rate change,0,2023-11-11,US,pmf,decrease,1.75442845716127e-52
2023-11-11,wk flu hosp rate change,0,2023-11-11,US,pmf,stable,0.9868783816301588
2023-11-11,wk flu hosp rate change,0,2023-11-11,US,pmf,increase,0.008156207026333462
2023-11-11,wk flu hosp rate change,0,2023-11-11,US,pmf,large_increase,0.004965411343507697
2023-11-11,wk flu hosp rate change,1,2023-11-18,US,pmf,large_decrease,0
2023-11-11,wk flu hosp rate change,1,2023-11-18,US,pmf,decrease,3.03384894659683e-48
2023-11-11,wk flu hosp rate change,1,2023-11-18,US,pmf,stable,0.9673088182802525
2023-11-11,wk flu hosp rate change,1,2023-11-18,US,pmf,increase,0.03262542372142929
2023-11-11,wk flu hosp rate change,1,2023-11-18,US,pmf,large_increase,6.57579983182055e-5
2023-11-11,wk flu hosp rate change,2,2023-11-25,US,pmf,large_decrease,0
2023-11-11,wk flu hosp rate change,2,2023-11-25,US,pmf,decrease,7.854362607084332e-177
2023-11-11,wk flu hosp rate change,2,2023-11-25,US,pmf,stable,0.9905801304311856
2023-11-11,wk flu hosp rate change,2,2023-11-25,US,pmf,increase,0.009417722269251194
2023-11-11,wk flu hosp rate change,2,2023-11-25,US,pmf,large_increase,2.1472995631599545e-6
2023-11-11,wk flu hosp rate change,3,2023-12-02,US,pmf,large_decrease,0
2023-11-11,wk flu hosp rate change,3,2023-12-02,US,pmf,decrease,6.705031204305324e-231
2023-11-11,wk flu hosp rate change,3,2023-12-02,US,pmf,stable,0.9966326873520197
2023-11-11,wk flu hosp rate change,3,2023-12-02,US,pmf,increase,0.0033672606670344107
2023-11-11,wk flu hosp rate change,3,2023-12-02,US,pmf,large_increase,5.198094588099167e-8
