reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2024-04-20,US,0,wk inc flu hosp,2024-04-20,quantile,0.01,1368.930521224319
2024-04-20,US,0,wk inc flu hosp,2024-04-20,quantile,0.025,1575.659593296562
2024-04-20,US,0,wk inc flu hosp,2024-04-20,quantile,0.05,1966.4412152148511
2024-04-20,US,0,wk inc flu hosp,2024-04-20,quantile,0.1,2351.9023224544508
2024-04-20,US,0,wk inc flu hosp,2024-04-20,quantile,0.15,2628.9311594541487
2024-04-20,US,0,wk inc flu hosp,2024-04-20,quantile,0.2,2785.363318353126
2024-04-20,US,0,wk inc flu hosp,2024-04-20,quantile,0.25,2903.0256127743237
2024-04-20,US,0,wk inc flu hosp,2024-04-20,quantile,0.3,3010.50568202603
2024-04-20,US,0,wk inc flu hosp,2024-04-20,quantile,0.35,3120.3097030478843
2024-04-20,US,0,wk inc flu hosp,2024-04-20,quantile,0.4,3214.0318194989063
2024-04-20,US,0,wk inc flu hosp,2024-04-20,quantile,0.45,3316.0158968234173
2024-04-20,US,0,wk inc flu hosp,2024-04-20,quantile,0.5,3411.816046596941
2024-04-20,US,0,wk inc flu hosp,2024-04-20,quantile,0.55,3504.6032488303267
2024-04-20,US,0,wk inc flu hosp,2024-04-20,quantile,0.6,3594.907632112176
2024-04-20,US,0,wk inc flu hosp,2024-04-20,quantile,0.65,3690.485051285183
2024-04-20,US,0,wk inc flu hosp,2024-04-20,quantile,0.7,3799.655761302973
2024-04-20,US,0,wk inc flu hosp,2024-04-20,quantile,0.75,3929.3056212440943
2024-04-20,US,0,wk inc flu hosp,2024-04-20,quantile,0.8,4073.263511657367
2024-04-20,US,0,wk inc flu hosp,2024-04-20,quantile,0.85,4248.54239521598
2024-04-20,US,0,wk inc flu hosp,2024-04-20,quantile,0.9,4584.2057776551565
2024-04-20,US,0,wk inc flu hosp,2024-04-20,quantile,0.95,5138.781780336628
2024-04-20,US,0,wk inc flu hosp,2024-04-20,quantile,0.975,5729.878263218047
2024-04-20,US,0,wk inc flu hosp,2024-04-20,quantile,0.99,6502.771526186783
2024-04-20,US,1,wk inc flu hosp,2024-04-27,quantile,0.01,665.7610414689558
2024-04-20,US,1,wk inc flu hosp,2024-04-27,quantile,0.025,791.0825977802716
2024-04-20,US,1,wk inc flu hosp,2024-04-27,quantile,0.05,1051.368909139857
