reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2024-02-03,0,wk inc flu hosp,2024-02-03,01,quantile,0.01,37.5
2024-02-03,0,wk inc flu hosp,2024-02-03,01,quantile,0.025,45.5
2024-02-03,0,wk inc flu hosp,2024-02-03,01,quantile,0.05,55.5
2024-02-03,0,wk inc flu hosp,2024-02-03,01,quantile,0.1,71
2024-02-03,0,wk inc flu hosp,2024-02-03,01,quantile,0.15,81
2024-02-03,0,wk inc flu hosp,2024-02-03,01,quantile,0.2,86
2024-02-03,0,wk inc flu hosp,2024-02-03,01,quantile,0.25,91.5
2024-02-03,0,wk inc flu hosp,2024-02-03,01,quantile,0.3,99.5
2024-02-03,0,wk inc flu hosp,2024-02-03,01,quantile,0.35,108
2024-02-03,0,wk inc flu hosp,2024-02-03,01,quantile,0.4,116.5
2024-02-03,0,wk inc flu hosp,2024-02-03,01,quantile,0.45,125
2024-02-03,0,wk inc flu hosp,2024-02-03,01,quantile,0.5,138.5
2024-02-03,0,wk inc flu hosp,2024-02-03,01,quantile,0.55,147
2024-02-03,0,wk inc flu hosp,2024-02-03,01,quantile,0.6,154
2024-02-03,0,wk inc flu hosp,2024-02-03,01,quantile,0.65,161
2024-02-03,0,wk inc flu hosp,2024-02-03,01,quantile,0.7,168.5
2024-02-03,0,wk inc flu hosp,2024-02-03,01,quantile,0.75,176.5
2024-02-03,0,wk inc flu hosp,2024-02-03,01,quantile,0.8,185.5
2024-02-03,0,wk inc flu hosp,2024-02-03,01,quantile,0.85,195
2024-02-03,0,wk inc flu hosp,2024-02-03,01,quantile,0.9,207
2024-02-03,0,wk inc flu hosp,2024-02-03,01,quantile,0.95,222.5
2024-02-03,0,wk inc flu hosp,2024-02-03,01,quantile,0.975,234.5
2024-02-03,0,wk inc flu hosp,2024-02-03,01,quantile,0.99,253.5
2024-02-03,0,wk inc flu hosp,2024-02-03,02,quantile,0.01,1.5
2024-02-03,0,wk inc flu hosp,2024-02-03,02,quantile,0.025,1.5
2024-02-03,0,wk inc flu hosp,2024-02-03,02,quantile,0.05,1.5
2024-02-03,0,wk inc flu hosp,2024-02-03,02,quantile,0.1,2
2024-02-03,0,wk inc flu hosp,2024-02-03,02,quantile,0.15,2.5
2024-02-03,0,wk inc flu hosp,2024-02-03,02,quantile,0.2,3.5
2024-02-03,0,wk inc flu hosp,2024-02-03,02,quantile,0.25,3.5
2024-02-03,0,wk inc flu hosp,2024-02-03,02,quantile,0.3,4
2024-02-03,0,wk inc flu hosp,2024-02-03,02,quantile,0.35,5
2024-02-03,0,wk inc flu hosp,2024-02-03,02,quantile,0.4,6
2024-02-03,0,wk inc flu hosp,2024-02-03,02,quantile,0.45,7
2024-02-03,0,wk inc flu hosp,2024-02-03,02,quantile,0.5,8
2024-02-03,0,wk inc flu hosp,2024-02-03,02,quantile,0.55,8.5
2024-02-03,0,wk inc flu hosp,2024-02-03,02,quantile,0.6,9
2024-02-03,0,wk inc flu hosp,2024-02-03,02,quantile,0.65,10
2024-02-03,0,wk inc flu hosp,2024-02-03,02,quantile,0.7,11
2024-02-03,0,wk inc flu hosp,2024-02-03,02,quantile,0.75,12
2024-02-03,0,wk inc flu hosp,2024-02-03,02,quantile,0.8,13
2024-02-03,0,wk inc flu hosp,2024-02-03,02,quantile,0.85,14.5
2024-02-03,0,wk inc flu hosp,2024-02-03,02,quantile,0.9,15.5
2024-02-03,0,wk inc flu hosp,2024-02-03,02,quantile,0.95,17
2024-02-03,0,wk inc flu hosp,2024-02-03,02,quantile,0.975,18.5
2024-02-03,0,wk inc flu hosp,2024-02-03,02,quantile,0.99,20
2024-02-03,0,wk inc flu hosp,2024-02-03,04,quantile,0.01,398
2024-02-03,0,wk inc flu hosp,2024-02-03,04,quantile,0.025,416
2024-02-03,0,wk inc flu hosp,2024-02-03,04,quantile,0.05,434.5
2024-02-03,0,wk inc flu hosp,2024-02-03,04,quantile,0.1,459
2024-02-03,0,wk inc flu hosp,2024-02-03,04,quantile,0.15,486
2024-02-03,0,wk inc flu hosp,2024-02-03,04,quantile,0.2,510
2024-02-03,0,wk inc flu hosp,2024-02-03,04,quantile,0.25,540.5
2024-02-03,0,wk inc flu hosp,2024-02-03,04,quantile,0.3,559
2024-02-03,0,wk inc flu hosp,2024-02-03,04,quantile,0.35,576.5
2024-02-03,0,wk inc flu hosp,2024-02-03,04,quantile,0.4,594
2024-02-03,0,wk inc flu hosp,2024-02-03,04,quantile,0.45,610.5
2024-02-03,0,wk inc flu hosp,2024-02-03,04,quantile,0.5,627
2024-02-03,0,wk inc flu hosp,2024-02-03,04,quantile,0.55,637.5
2024-02-03,0,wk inc flu hosp,2024-02-03,04,quantile,0.6,654
2024-02-03,0,wk inc flu hosp,2024-02-03,04,quantile,0.65,666.5
2024-02-03,0,wk inc flu hosp,2024-02-03,04,quantile,0.7,680
2024-02-03,0,wk inc flu hosp,2024-02-03,04,quantile,0.75,694.5
2024-02-03,0,wk inc flu hosp,2024-02-03,04,quantile,0.8,711
2024-02-03,0,wk inc flu hosp,2024-02-03,04,quantile,0.85,745.5
2024-02-03,0,wk inc flu hosp,2024-02-03,04,quantile,0.9,784.5
2024-02-03,0,wk inc flu hosp,2024-02-03,04,quantile,0.95,830.5
2024-02-03,0,wk inc flu hosp,2024-02-03,04,quantile,0.975,851
2024-02-03,0,wk inc flu hosp,2024-02-03,04,quantile,0.99,880
2024-02-03,0,wk inc flu hosp,2024-02-03,05,quantile,0.01,157
2024-02-03,0,wk inc flu hosp,2024-02-03,05,quantile,0.025,169.5
2024-02-03,0,wk inc flu hosp,2024-02-03,05,quantile,0.05,182
2024-02-03,0,wk inc flu hosp,2024-02-03,05,quantile,0.1,198.5
2024-02-03,0,wk inc flu hosp,2024-02-03,05,quantile,0.15,211.5
2024-02-03,0,wk inc flu hosp,2024-02-03,05,quantile,0.2,224.5
2024-02-03,0,wk inc flu hosp,2024-02-03,05,quantile,0.25,237
2024-02-03,0,wk inc flu hosp,2024-02-03,05,quantile,0.3,248
2024-02-03,0,wk inc flu hosp,2024-02-03,05,quantile,0.35,256
2024-02-03,0,wk inc flu hosp,2024-02-03,05,quantile,0.4,259.5
2024-02-03,0,wk inc flu hosp,2024-02-03,05,quantile,0.45,264.5
2024-02-03,0,wk inc flu hosp,2024-02-03,05,quantile,0.5,267
2024-02-03,0,wk inc flu hosp,2024-02-03,05,quantile,0.55,274.5
2024-02-03,0,wk inc flu hosp,2024-02-03,05,quantile,0.6,289
2024-02-03,0,wk inc flu hosp,2024-02-03,05,quantile,0.65,301
2024-02-03,0,wk inc flu hosp,2024-02-03,05,quantile,0.7,309.5
2024-02-03,0,wk inc flu hosp,2024-02-03,05,quantile,0.75,318
2024-02-03,0,wk inc flu hosp,2024-02-03,05,quantile,0.8,327
2024-02-03,0,wk inc flu hosp,2024-02-03,05,quantile,0.85,338
2024-02-03,0,wk inc flu hosp,2024-02-03,05,quantile,0.9,351.5
2024-02-03,0,wk inc flu hosp,2024-02-03,05,quantile,0.95,369.5
2024-02-03,0,wk inc flu hosp,2024-02-03,05,quantile,0.975,385
2024-02-03,0,wk inc flu hosp,2024-02-03,05,quantile,0.99,399
2024-02-03,0,wk inc flu hosp,2024-02-03,06,quantile,0.01,297.5
2024-02-03,0,wk inc flu hosp,2024-02-03,06,quantile,0.025,302
2024-02-03,0,wk inc flu hosp,2024-02-03,06,quantile,0.05,316
2024-02-03,0,wk inc flu hosp,2024-02-03,06,quantile,0.1,361.5
2024-02-03,0,wk inc flu hosp,2024-02-03,06,quantile,0.15,412.5
2024-02-03,0,wk inc flu hosp,2024-02-03,06,quantile,0.2,423.5
2024-02-03,0,wk inc flu hosp,2024-02-03,06,quantile,0.25,438.5
2024-02-03,0,wk inc flu hosp,2024-02-03,06,quantile,0.3,489
2024-02-03,0,wk inc flu hosp,2024-02-03,06,quantile,0.35,513.5
2024-02-03,0,wk inc flu hosp,2024-02-03,06,quantile,0.4,579.5
2024-02-03,0,wk inc flu hosp,2024-02-03,06,quantile,0.45,611.5
2024-02-03,0,wk inc flu hosp,2024-02-03,06,quantile,0.5,641
2024-02-03,0,wk inc flu hosp,2024-02-03,06,quantile,0.55,659.5
2024-02-03,0,wk inc flu hosp,2024-02-03,06,quantile,0.6,676
2024-02-03,0,wk inc flu hosp,2024-02-03,06,quantile,0.65,724
2024-02-03,0,wk inc flu hosp,2024-02-03,06,quantile,0.7,755.5
2024-02-03,0,wk inc flu hosp,2024-02-03,06,quantile,0.75,791
2024-02-03,0,wk inc flu hosp,2024-02-03,06,quantile,0.8,831
2024-02-03,0,wk inc flu hosp,2024-02-03,06,quantile,0.85,879.5
2024-02-03,0,wk inc flu hosp,2024-02-03,06,quantile,0.9,941.5
2024-02-03,0,wk inc flu hosp,2024-02-03,06,quantile,0.95,1008
2024-02-03,0,wk inc flu hosp,2024-02-03,06,quantile,0.975,1042.5
2024-02-03,0,wk inc flu hosp,2024-02-03,06,quantile,0.99,1097
2024-02-03,0,wk inc flu hosp,2024-02-03,08,quantile,0.01,85.5
2024-02-03,0,wk inc flu hosp,2024-02-03,08,quantile,0.025,93
