reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2023-12-09,wk inc flu hosp,0,2023-12-09,01,quantile,0.01,78.28058606564147
2023-12-09,wk inc flu hosp,1,2023-12-16,01,quantile,0.01,87.2779121740126
2023-12-09,wk inc flu hosp,2,2023-12-23,01,quantile,0.01,102.84698968142156
2023-12-09,wk inc flu hosp,3,2023-12-30,01,quantile,0.01,106.68209829445712
2023-12-09,wk inc flu hosp,0,2023-12-09,02,quantile,0.01,1.8390153469225383
2023-12-09,wk inc flu hosp,1,2023-12-16,02,quantile,0.01,3.1544375080380997
2023-12-09,wk inc flu hosp,2,2023-12-23,02,quantile,0.01,6.615599413176984
2023-12-09,wk inc flu hosp,3,2023-12-30,02,quantile,0.01,7.395418385237658
2023-12-09,wk inc flu hosp,0,2023-12-09,04,quantile,0.01,318.61686268666386
2023-12-09,wk inc flu hosp,1,2023-12-16,04,quantile,0.01,309.25981839962014
2023-12-09,wk inc flu hosp,2,2023-12-23,04,quantile,0.01,277.1098921482081
2023-12-09,wk inc flu hosp,3,2023-12-30,04,quantile,0.01,203.01296936400573
2023-12-09,wk inc flu hosp,0,2023-12-09,05,quantile,0.01,6.691732226489089
2023-12-09,wk inc flu hosp,1,2023-12-16,05,quantile,0.01,12.736302333105035
2023-12-09,wk inc flu hosp,2,2023-12-23,05,quantile,0.01,20.70269130430385
2023-12-09,wk inc flu hosp,3,2023-12-30,05,quantile,0.01,18.296623054627215
2023-12-09,wk inc flu hosp,0,2023-12-09,06,quantile,0.01,720.6570070379646
2023-12-09,wk inc flu hosp,1,2023-12-16,06,quantile,0.01,563.6009905972433
2023-12-09,wk inc flu hosp,2,2023-12-23,06,quantile,0.01,389.6977912804639
2023-12-09,wk inc flu hosp,3,2023-12-30,06,quantile,0.01,254.14427328784168
2023-12-09,wk inc flu hosp,0,2023-12-09,08,quantile,0.01,115.9198139581762
2023-12-09,wk inc flu hosp,1,2023-12-16,08,quantile,0.01,131.9454914937421
2023-12-09,wk inc flu hosp,2,2023-12-23,08,quantile,0.01,117.973387376997
2023-12-09,wk inc flu hosp,3,2023-12-30,08,quantile,0.01,113.537383011051
2023-12-09,wk inc flu hosp,0,2023-12-09,09,quantile,0.01,49.593965093517134
2023-12-09,wk inc flu hosp,1,2023-12-16,09,quantile,0.01,68.91208660341508
2023-12-09,wk inc flu hosp,2,2023-12-23,09,quantile,0.01,85.76234103946764
2023-12-09,wk inc flu hosp,3,2023-12-30,09,quantile,0.01,92.16809783702516
2023-12-09,wk inc flu hosp,0,2023-12-09,10,quantile,0.01,0.02289067798749211
2023-12-09,wk inc flu hosp,1,2023-12-16,10,quantile,0.01,0.7814112593723604
2023-12-09,wk inc flu hosp,2,2023-12-23,10,quantile,0.01,1.3593354113930576
2023-12-09,wk inc flu hosp,3,2023-12-30,10,quantile,0.01,1.3984567349434966
2023-12-09,wk inc flu hosp,0,2023-12-09,11,quantile,0.01,3.598066029876183
2023-12-09,wk inc flu hosp,1,2023-12-16,11,quantile,0.01,4.7640539802296535
2023-12-09,wk inc flu hosp,2,2023-12-23,11,quantile,0.01,9.95188616541632
2023-12-09,wk inc flu hosp,3,2023-12-30,11,quantile,0.01,8.631233182953958
2023-12-09,wk inc flu hosp,0,2023-12-09,12,quantile,0.01,668.7490135258728
2023-12-09,wk inc flu hosp,1,2023-12-16,12,quantile,0.01,621.772749056144
2023-12-09,wk inc flu hosp,2,2023-12-23,12,quantile,0.01,530.9169640743187
2023-12-09,wk inc flu hosp,3,2023-12-30,12,quantile,0.01,441.7231307880986
2023-12-09,wk inc flu hosp,0,2023-12-09,13,quantile,0.01,192.16830345189325
2023-12-09,wk inc flu hosp,1,2023-12-16,13,quantile,0.01,201.8768951518455
2023-12-09,wk inc flu hosp,2,2023-12-23,13,quantile,0.01,188.60081762796847
2023-12-09,wk inc flu hosp,3,2023-12-30,13,quantile,0.01,191.38571745857155
2023-12-09,wk inc flu hosp,0,2023-12-09,15,quantile,0.01,5.373835945830852
2023-12-09,wk inc flu hosp,1,2023-12-16,15,quantile,0.01,6.86276027057717
2023-12-09,wk inc flu hosp,2,2023-12-23,15,quantile,0.01,15.876282894055768
2023-12-09,wk inc flu hosp,3,2023-12-30,15,quantile,0.01,16.897384840770915
2023-12-09,wk inc flu hosp,0,2023-12-09,16,quantile,0.01,9.083121843513132
2023-12-09,wk inc flu hosp,1,2023-12-16,16,quantile,0.01,11.893709224943269
2023-12-09,wk inc flu hosp,2,2023-12-23,16,quantile,0.01,15.128007258839506
2023-12-09,wk inc flu hosp,3,2023-12-30,16,quantile,0.01,16.474306352794166
2023-12-09,wk inc flu hosp,0,2023-12-09,17,quantile,0.01,164.50840370227985
2023-12-09,wk inc flu hosp,1,2023-12-16,17,quantile,0.01,190.70733628696183
2023-12-09,wk inc flu hosp,2,2023-12-23,17,quantile,0.01,192.56712342981433
2023-12-09,wk inc flu hosp,3,2023-12-30,17,quantile,0.01,189.55954474801212
2023-12-09,wk inc flu hosp,0,2023-12-09,18,quantile,0.01,129.41900772861823
2023-12-09,wk inc flu hosp,1,2023-12-16,18,quantile,0.01,123.72685745828774
2023-12-09,wk inc flu hosp,2,2023-12-23,18,quantile,0.01,116.87065490505624
2023-12-09,wk inc flu hosp,3,2023-12-30,18,quantile,0.01,108.4401455887353
2023-12-09,wk inc flu hosp,0,2023-12-09,19,quantile,0.01,35.54308435090399
2023-12-09,wk inc flu hosp,1,2023-12-16,19,quantile,0.01,45.65715770572585
2023-12-09,wk inc flu hosp,2,2023-12-23,19,quantile,0.01,60.01611687463999
2023-12-09,wk inc flu hosp,3,2023-12-30,19,quantile,0.01,52.311336948290894
2023-12-09,wk inc flu hosp,0,2023-12-09,20,quantile,0.01,26.696587390556385
2023-12-09,wk inc flu hosp,1,2023-12-16,20,quantile,0.01,40.49570636631216
2023-12-09,wk inc flu hosp,2,2023-12-23,20,quantile,0.01,39.99591497383951
2023-12-09,wk inc flu hosp,3,2023-12-30,20,quantile,0.01,50.68025321337732
2023-12-09,wk inc flu hosp,0,2023-12-09,21,quantile,0.01,33.23256954589603
2023-12-09,wk inc flu hosp,1,2023-12-16,21,quantile,0.01,40.9893616091042
2023-12-09,wk inc flu hosp,2,2023-12-23,21,quantile,0.01,39.84420664889007
2023-12-09,wk inc flu hosp,3,2023-12-30,21,quantile,0.01,41.29284303187094
2023-12-09,wk inc flu hosp,0,2023-12-09,22,quantile,0.01,105.0794848020754
2023-12-09,wk inc flu hosp,1,2023-12-16,22,quantile,0.01,126.81851819085789
2023-12-09,wk inc flu hosp,2,2023-12-23,22,quantile,0.01,126.29736623663744
2023-12-09,wk inc flu hosp,3,2023-12-30,22,quantile,0.01,125.14946725293052
2023-12-09,wk inc flu hosp,0,2023-12-09,23,quantile,0.01,5.088282224820594
2023-12-09,wk inc flu hosp,1,2023-12-16,23,quantile,0.01,10.664569305259985
2023-12-09,wk inc flu hosp,2,2023-12-23,23,quantile,0.01,12.243170883504153
2023-12-09,wk inc flu hosp,3,2023-12-30,23,quantile,0.01,16.589159085946893
2023-12-09,wk inc flu hosp,0,2023-12-09,24,quantile,0.01,43.29902936860887
2023-12-09,wk inc flu hosp,1,2023-12-16,24,quantile,0.01,57.15852532758078
2023-12-09,wk inc flu hosp,2,2023-12-23,24,quantile,0.01,55.22628383278162
2023-12-09,wk inc flu hosp,3,2023-12-30,24,quantile,0.01,70.59721168503185
2023-12-09,wk inc flu hosp,0,2023-12-09,25,quantile,0.01,84.33643037867762
