reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.01,56
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.025,58
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.05,61
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.1,63
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.15,65
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.2,70
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.25,75
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.3,76
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.35,78
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.4,79
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.45,80
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.5,83
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.55,84
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.6,84
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.65,86
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.7,87
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.75,88
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.8,90
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.85,92
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.9,94
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.95,97
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.975,99
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.99,102
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.01,57
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.025,63
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.05,70
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.1,73
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.15,76
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.2,78
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.25,81
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.3,83
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.35,84
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.4,85
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.45,87
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.5,89
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.55,91
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.6,93
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.65,94
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.7,96
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.75,98
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.8,99
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.85,101
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.9,104
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.95,108
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.975,111
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.99,116
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.01,49
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.025,63
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.05,72
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.1,79
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.15,81
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.2,84
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.25,89
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.3,91
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.35,92
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.4,93
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.45,95
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.5,97
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.55,98
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.6,100
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.65,103
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.7,105
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.75,107
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.8,109
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.85,113
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.9,116
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.95,120
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.975,124
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.99,129
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.01,60
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.025,70
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.05,75
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.1,81
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.15,86
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.2,90
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.25,92
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.3,97
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.35,109
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.4,110
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.45,111
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.5,114
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.55,115
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.6,117
