horizon,location,output_type,output_type_id,reference_date,target,target_end_date,value
0,01,quantile,0.01,2024-05-04,wk inc flu hosp,2024-05-04,0
0,01,quantile,0.025,2024-05-04,wk inc flu hosp,2024-05-04,0
0,01,quantile,0.05,2024-05-04,wk inc flu hosp,2024-05-04,2
0,01,quantile,0.1,2024-05-04,wk inc flu hosp,2024-05-04,5
0,01,quantile,0.15,2024-05-04,wk inc flu hosp,2024-05-04,6
0,01,quantile,0.2,2024-05-04,wk inc flu hosp,2024-05-04,8
0,01,quantile,0.25,2024-05-04,wk inc flu hosp,2024-05-04,9
0,01,quantile,0.3,2024-05-04,wk inc flu hosp,2024-05-04,11
0,01,quantile,0.35,2024-05-04,wk inc flu hosp,2024-05-04,12
0,01,quantile,0.4,2024-05-04,wk inc flu hosp,2024-05-04,13
0,01,quantile,0.45,2024-05-04,wk inc flu hosp,2024-05-04,14
0,01,quantile,0.5,2024-05-04,wk inc flu hosp,2024-05-04,16
0,01,quantile,0.55,2024-05-04,wk inc flu hosp,2024-05-04,17
0,01,quantile,0.6,2024-05-04,wk inc flu hosp,2024-05-04,18
0,01,quantile,0.65,2024-05-04,wk inc flu hosp,2024-05-04,19
0,01,quantile,0.7,2024-05-04,wk inc flu hosp,2024-05-04,20
0,01,quantile,0.75,2024-05-04,wk inc flu hosp,2024-05-04,22
0,01,quantile,0.8,2024-05-04,wk inc flu hosp,2024-05-04,23
0,01,quantile,0.85,2024-05-04,wk inc flu hosp,2024-05-04,24
0,01,quantile,0.9,2024-05-04,wk inc flu hosp,2024-05-04,26
0,01,quantile,0.95,2024-05-04,wk inc flu hosp,2024-05-04,29
0,01,quantile,0.975,2024-05-04,wk inc flu hosp,2024-05-04,32
0,01,quantile,0.99,2024-05-04,wk inc flu hosp,2024-05-04,35
1,01,quantile,0.01,2024-05-04,wk inc flu hosp,2024-05-11,0
1,01,quantile,0.025,2024-05-04,wk inc flu hosp,2024-05-11,0
1,01,quantile,0.05,2024-05-04,wk inc flu hosp,2024-05-11,2
1,01,quantile,0.1,2024-05-04,wk inc flu hosp,2024-05-11,5
1,01,quantile,0.15,2024-05-04,wk inc flu hosp,2024-05-11,7
1,01,quantile,0.2,2024-05-04,wk inc flu hosp,2024-05-11,9
1,01,quantile,0.25,2024-05-04,wk inc flu hosp,2024-05-11,10
1,01,quantile,0.3,2024-05-04,wk inc flu hosp,2024-05-11,11
1,01,quantile,0.35,2024-05-04,wk inc flu hosp,2024-05-11,12
1,01,quantile,0.4,2024-05-04,wk inc flu hosp,2024-05-11,13
1,01,quantile,0.45,2024-05-04,wk inc flu hosp,2024-05-11,14
1,01,quantile,0.5,2024-05-04,wk inc flu hosp,2024-05-11,16
1,01,quantile,0.55,2024-05-04,wk inc flu hosp,2024-05-11,17
1,01,quantile,0.6,2024-05-04,wk inc flu hosp,2024-05-11,18
1,01,quantile,0.65,2024-05-04,wk inc flu hosp,2024-05-11,19
1,01,quantile,0.7,2024-05-04,wk inc flu hosp,2024-05-11,20
1,01,quantile,0.75,2024-05-04,wk inc flu hosp,2024-05-11,22
1,01,quantile,0.8,2024-05-04,wk inc flu hosp,2024-05-11,23
1,01,quantile,0.85,2024-05-04,wk inc flu hosp,2024-05-11,25
1,01,quantile,0.9,2024-05-04,wk inc flu hosp,2024-05-11,28
1,01,quantile,0.95,2024-05-04,wk inc flu hosp,2024-05-11,34
1,01,quantile,0.975,2024-05-04,wk inc flu hosp,2024-05-11,39
1,01,quantile,0.99,2024-05-04,wk inc flu hosp,2024-05-11,43
2,01,quantile,0.01,2024-05-04,wk inc flu hosp,2024-05-18,0
2,01,quantile,0.025,2024-05-04,wk inc flu hosp,2024-05-18,0
2,01,quantile,0.05,2024-05-04,wk inc flu hosp,2024-05-18,2
2,01,quantile,0.1,2024-05-04,wk inc flu hosp,2024-05-18,5
2,01,quantile,0.15,2024-05-04,wk inc flu hosp,2024-05-18,8
2,01,quantile,0.2,2024-05-04,wk inc flu hosp,2024-05-18,9
2,01,quantile,0.25,2024-05-04,wk inc flu hosp,2024-05-18,11
2,01,quantile,0.3,2024-05-04,wk inc flu hosp,2024-05-18,12
2,01,quantile,0.35,2024-05-04,wk inc flu hosp,2024-05-18,13
2,01,quantile,0.4,2024-05-04,wk inc flu hosp,2024-05-18,15
2,01,quantile,0.45,2024-05-04,wk inc flu hosp,2024-05-18,16
2,01,quantile,0.5,2024-05-04,wk inc flu hosp,2024-05-18,18
2,01,quantile,0.55,2024-05-04,wk inc flu hosp,2024-05-18,19
2,01,quantile,0.6,2024-05-04,wk inc flu hosp,2024-05-18,20
2,01,quantile,0.65,2024-05-04,wk inc flu hosp,2024-05-18,21
2,01,quantile,0.7,2024-05-04,wk inc flu hosp,2024-05-18,23
