reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2023-10-21,wk inc flu hosp,0,2023-10-21,02,quantile,0.01,0
2023-10-21,wk inc flu hosp,0,2023-10-21,02,quantile,0.025,0
2023-10-21,wk inc flu hosp,0,2023-10-21,02,quantile,0.05,0
2023-10-21,wk inc flu hosp,0,2023-10-21,02,quantile,0.1,0
2023-10-21,wk inc flu hosp,0,2023-10-21,02,quantile,0.15,0.29
2023-10-21,wk inc flu hosp,0,2023-10-21,02,quantile,0.2,0.99
2023-10-21,wk inc flu hosp,0,2023-10-21,02,quantile,0.25,2.43
2023-10-21,wk inc flu hosp,0,2023-10-21,02,quantile,0.3,2.76
2023-10-21,wk inc flu hosp,0,2023-10-21,02,quantile,0.35,3.08
2023-10-21,wk inc flu hosp,0,2023-10-21,02,quantile,0.4,3.08
2023-10-21,wk inc flu hosp,0,2023-10-21,02,quantile,0.45,3.23
2023-10-21,wk inc flu hosp,0,2023-10-21,02,quantile,0.5,3.46
2023-10-21,wk inc flu hosp,0,2023-10-21,02,quantile,0.55,3.66
2023-10-21,wk inc flu hosp,0,2023-10-21,02,quantile,0.6,4.01
2023-10-21,wk inc flu hosp,0,2023-10-21,02,quantile,0.65,4.81
2023-10-21,wk inc flu hosp,0,2023-10-21,02,quantile,0.7,5.4
2023-10-21,wk inc flu hosp,0,2023-10-21,02,quantile,0.75,5.98
2023-10-21,wk inc flu hosp,0,2023-10-21,02,quantile,0.8,6.86
2023-10-21,wk inc flu hosp,0,2023-10-21,02,quantile,0.85,7.27
2023-10-21,wk inc flu hosp,0,2023-10-21,02,quantile,0.9,10.03
2023-10-21,wk inc flu hosp,0,2023-10-21,02,quantile,0.95,12.65
2023-10-21,wk inc flu hosp,0,2023-10-21,02,quantile,0.975,14.54
2023-10-21,wk inc flu hosp,0,2023-10-21,02,quantile,0.99,21.39
2023-10-21,wk inc flu hosp,0,2023-10-21,01,quantile,0.01,11.63
2023-10-21,wk inc flu hosp,0,2023-10-21,01,quantile,0.025,13.37
