location,horizon,output_type_id,value,reference_date,target,target_end_date,output_type
01,0,0.01,61.455,2024-03-16,wk inc flu hosp,2024-03-16,quantile
01,0,0.025,62.13,2024-03-16,wk inc flu hosp,2024-03-16,quantile
01,0,0.05,63.285,2024-03-16,wk inc flu hosp,2024-03-16,quantile
01,0,0.1,67.64500000000001,2024-03-16,wk inc flu hosp,2024-03-16,quantile
01,0,0.15,70.79,2024-03-16,wk inc flu hosp,2024-03-16,quantile
01,0,0.2,74.07,2024-03-16,wk inc flu hosp,2024-03-16,quantile
01,0,0.25,75.21,2024-03-16,wk inc flu hosp,2024-03-16,quantile
01,0,0.3,77.815,2024-03-16,wk inc flu hosp,2024-03-16,quantile
01,0,0.35,79.11500000000001,2024-03-16,wk inc flu hosp,2024-03-16,quantile
01,0,0.4,81.305,2024-03-16,wk inc flu hosp,2024-03-16,quantile
01,0,0.45,84.105,2024-03-16,wk inc flu hosp,2024-03-16,quantile
01,0,0.5,85.49000000000001,2024-03-16,wk inc flu hosp,2024-03-16,quantile
01,0,0.55,86.95500000000001,2024-03-16,wk inc flu hosp,2024-03-16,quantile
01,0,0.6,88.795,2024-03-16,wk inc flu hosp,2024-03-16,quantile
01,0,0.65,90.315,2024-03-16,wk inc flu hosp,2024-03-16,quantile
01,0,0.7,92.785,2024-03-16,wk inc flu hosp,2024-03-16,quantile
01,0,0.75,94.57,2024-03-16,wk inc flu hosp,2024-03-16,quantile
01,0,0.8,96.47,2024-03-16,wk inc flu hosp,2024-03-16,quantile
01,0,0.85,99.84,2024-03-16,wk inc flu hosp,2024-03-16,quantile
01,0,0.9,104.115,2024-03-16,wk inc flu hosp,2024-03-16,quantile
01,0,0.95,106.995,2024-03-16,wk inc flu hosp,2024-03-16,quantile
01,0,0.975,108.12,2024-03-16,wk inc flu hosp,2024-03-16,quantile
01,0,0.99,109.98,2024-03-16,wk inc flu hosp,2024-03-16,quantile
01,1,0.01,75.93,2024-03-16,wk inc flu hosp,2024-03-23,quantile
