reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.01,48.31174708102752
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.025,67.55796114917916
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.05,82.07467042582014
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.1,98.2360438254256
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.15,110.19093160866043
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.2,120.00673402120778
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.25,128.52319746846894
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.3,136.0245004600219
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.35,143.16878854674798
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.4,149.60298071664522
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.45,156.44108595205154
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.5,162.8959581839281
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.55,169.4449327217529
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.6,175.82677510134283
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.65,183.50419367206317
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.7,190.71074404650935
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.75,199.15497370017843
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.8,208.1029478348727
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.85,219.63042954437313
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.9,234.18544632904243
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.95,255.75431396172723
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.975,275.92877799807223
2023-12-02,wk inc flu hosp,0,2023-12-02,01,quantile,0.99,296.5127145048429
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.01,78.96837228000639
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.025,104.3680301887306
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.05,127.44082685397234
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.1,156.69108188534136
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.15,173.9202489465079
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.2,190.1675802021284
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.25,202.46036381395004
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.3,215.61526612909577
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.35,228.43170512524503
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.4,239.4806855245478
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.45,249.6082382211124
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.5,261.6784485332581
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.55,272.92570035056406
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.6,284.54282426312744
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.65,296.21948283312855
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.7,310.32476612511437
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.75,324.7841358269099
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.8,339.81153665550784
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.85,359.0641117641825
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.9,384.7895065157992
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.95,423.8530854994206
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.975,463.1674868080322
2023-12-02,wk inc flu hosp,1,2023-12-09,01,quantile,0.99,511.89450298481023
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.01,84.8453646366159
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.025,126.88220479388532
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.05,156.99298704785534
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.1,204.22384047172605
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.15,235.44835218839637
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.2,264.7820447158334
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.25,285.6982599505264
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.3,303.61031669623435
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.35,322.2788883812885
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.4,341.2279147837273
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.45,358.8635847552937
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.5,377.83384147311693
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.55,395.0724827309089
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.6,415.4691071551569
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.65,437.5687397093685
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.7,459.2832073598227
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.75,481.6526897238804
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.8,509.2854209465262
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.85,542.9148695512529
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.9,588.5820945539149
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.95,658.2280324365305
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.975,711.966846405348
2023-12-02,wk inc flu hosp,2,2023-12-16,01,quantile,0.99,798.4286862321659
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.01,56.004785602470925
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.025,112.2378754948146
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.05,165.6301001914227
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.1,221.3332228177302
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.15,267.13400505994457
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.2,305.65874768422105
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.25,339.0213583857741
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.3,366.6861354905826
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.35,395.0964545489507
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.4,421.3532159564301
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.45,451.22089575611466
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.5,483.07951540280686
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.55,511.5341782041078
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.6,541.4619586546994
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.65,570.9238597194684
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.7,603.1823210185651
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.75,641.5687413775605
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.8,691.2856524115524
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.85,749.0588098822675
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.9,835.1918291273496
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.95,945.064822758692
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.975,1077.574221724803
2023-12-02,wk inc flu hosp,3,2023-12-23,01,quantile,0.99,1214.4705117879205
2023-12-02,wk inc flu hosp,0,2023-12-02,02,quantile,0.01,0
2023-12-02,wk inc flu hosp,0,2023-12-02,02,quantile,0.025,0
2023-12-02,wk inc flu hosp,0,2023-12-02,02,quantile,0.05,3.5345670073279503
2023-12-02,wk inc flu hosp,0,2023-12-02,02,quantile,0.1,8.113389284424843
2023-12-02,wk inc flu hosp,0,2023-12-02,02,quantile,0.15,11.725357555764818
2023-12-02,wk inc flu hosp,0,2023-12-02,02,quantile,0.2,14.72773654117699
2023-12-02,wk inc flu hosp,0,2023-12-02,02,quantile,0.25,17.29702943490945
2023-12-02,wk inc flu hosp,0,2023-12-02,02,quantile,0.3,19.78887476324662
2023-12-02,wk inc flu hosp,0,2023-12-02,02,quantile,0.35,22.217453727412543
