reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2023-12-09,wk inc flu hosp,0,2023-12-09,01,quantile,0.01,51
2023-12-09,wk inc flu hosp,0,2023-12-09,01,quantile,0.025,56
2023-12-09,wk inc flu hosp,0,2023-12-09,01,quantile,0.05,60.95000000000002
2023-12-09,wk inc flu hosp,0,2023-12-09,01,quantile,0.1,66
2023-12-09,wk inc flu hosp,0,2023-12-09,01,quantile,0.15,70
2023-12-09,wk inc flu hosp,0,2023-12-09,01,quantile,0.2,74
2023-12-09,wk inc flu hosp,0,2023-12-09,01,quantile,0.25,77
2023-12-09,wk inc flu hosp,0,2023-12-09,01,quantile,0.3,79
2023-12-09,wk inc flu hosp,0,2023-12-09,01,quantile,0.35,82
2023-12-09,wk inc flu hosp,0,2023-12-09,01,quantile,0.4,84
2023-12-09,wk inc flu hosp,0,2023-12-09,01,quantile,0.45,86
2023-12-09,wk inc flu hosp,0,2023-12-09,01,quantile,0.5,88
2023-12-09,wk inc flu hosp,0,2023-12-09,01,quantile,0.55,91
2023-12-09,wk inc flu hosp,0,2023-12-09,01,quantile,0.6,93
2023-12-09,wk inc flu hosp,0,2023-12-09,01,quantile,0.65,95
2023-12-09,wk inc flu hosp,0,2023-12-09,01,quantile,0.7,98
2023-12-09,wk inc flu hosp,0,2023-12-09,01,quantile,0.75,101
2023-12-09,wk inc flu hosp,0,2023-12-09,01,quantile,0.8,105
2023-12-09,wk inc flu hosp,0,2023-12-09,01,quantile,0.85,108
2023-12-09,wk inc flu hosp,0,2023-12-09,01,quantile,0.9,114
2023-12-09,wk inc flu hosp,0,2023-12-09,01,quantile,0.95,122
2023-12-09,wk inc flu hosp,0,2023-12-09,01,quantile,0.975,129
2023-12-09,wk inc flu hosp,0,2023-12-09,01,quantile,0.99,138
2023-12-09,wk inc flu hosp,1,2023-12-16,01,quantile,0.01,38
2023-12-09,wk inc flu hosp,1,2023-12-16,01,quantile,0.025,44.97500000000001
2023-12-09,wk inc flu hosp,1,2023-12-16,01,quantile,0.05,51
2023-12-09,wk inc flu hosp,1,2023-12-16,01,quantile,0.1,59
2023-12-09,wk inc flu hosp,1,2023-12-16,01,quantile,0.15,65
2023-12-09,wk inc flu hosp,1,2023-12-16,01,quantile,0.2,69
2023-12-09,wk inc flu hosp,1,2023-12-16,01,quantile,0.25,73
2023-12-09,wk inc flu hosp,1,2023-12-16,01,quantile,0.3,77
2023-12-09,wk inc flu hosp,1,2023-12-16,01,quantile,0.35,80
2023-12-09,wk inc flu hosp,1,2023-12-16,01,quantile,0.4,83
2023-12-09,wk inc flu hosp,1,2023-12-16,01,quantile,0.45,86.54999999999995
2023-12-09,wk inc flu hosp,1,2023-12-16,01,quantile,0.5,90
2023-12-09,wk inc flu hosp,1,2023-12-16,01,quantile,0.55,93
2023-12-09,wk inc flu hosp,1,2023-12-16,01,quantile,0.6,96
2023-12-09,wk inc flu hosp,1,2023-12-16,01,quantile,0.65,99
2023-12-09,wk inc flu hosp,1,2023-12-16,01,quantile,0.7,103
2023-12-09,wk inc flu hosp,1,2023-12-16,01,quantile,0.75,108
2023-12-09,wk inc flu hosp,1,2023-12-16,01,quantile,0.8,113
2023-12-09,wk inc flu hosp,1,2023-12-16,01,quantile,0.85,119
2023-12-09,wk inc flu hosp,1,2023-12-16,01,quantile,0.9,128
2023-12-09,wk inc flu hosp,1,2023-12-16,01,quantile,0.95,140.04999999999973
2023-12-09,wk inc flu hosp,1,2023-12-16,01,quantile,0.975,155
2023-12-09,wk inc flu hosp,1,2023-12-16,01,quantile,0.99,176
2023-12-09,wk inc flu hosp,2,2023-12-23,01,quantile,0.01,23
2023-12-09,wk inc flu hosp,2,2023-12-23,01,quantile,0.025,30
2023-12-09,wk inc flu hosp,2,2023-12-23,01,quantile,0.05,38
2023-12-09,wk inc flu hosp,2,2023-12-23,01,quantile,0.1,48
2023-12-09,wk inc flu hosp,2,2023-12-23,01,quantile,0.15,55
2023-12-09,wk inc flu hosp,2,2023-12-23,01,quantile,0.2,60
2023-12-09,wk inc flu hosp,2,2023-12-23,01,quantile,0.25,65
2023-12-09,wk inc flu hosp,2,2023-12-23,01,quantile,0.3,70
2023-12-09,wk inc flu hosp,2,2023-12-23,01,quantile,0.35,75
2023-12-09,wk inc flu hosp,2,2023-12-23,01,quantile,0.4,79
2023-12-09,wk inc flu hosp,2,2023-12-23,01,quantile,0.45,83
2023-12-09,wk inc flu hosp,2,2023-12-23,01,quantile,0.5,87
2023-12-09,wk inc flu hosp,2,2023-12-23,01,quantile,0.55,91
2023-12-09,wk inc flu hosp,2,2023-12-23,01,quantile,0.6,96
2023-12-09,wk inc flu hosp,2,2023-12-23,01,quantile,0.65,101
2023-12-09,wk inc flu hosp,2,2023-12-23,01,quantile,0.7,106
2023-12-09,wk inc flu hosp,2,2023-12-23,01,quantile,0.75,113
2023-12-09,wk inc flu hosp,2,2023-12-23,01,quantile,0.8,120
2023-12-09,wk inc flu hosp,2,2023-12-23,01,quantile,0.85,129
2023-12-09,wk inc flu hosp,2,2023-12-23,01,quantile,0.9,141
2023-12-09,wk inc flu hosp,2,2023-12-23,01,quantile,0.95,165
2023-12-09,wk inc flu hosp,2,2023-12-23,01,quantile,0.975,185
2023-12-09,wk inc flu hosp,2,2023-12-23,01,quantile,0.99,230.00999999999976
2023-12-09,wk inc flu hosp,3,2023-12-30,01,quantile,0.01,14
2023-12-09,wk inc flu hosp,3,2023-12-30,01,quantile,0.025,20
2023-12-09,wk inc flu hosp,3,2023-12-30,01,quantile,0.05,28
2023-12-09,wk inc flu hosp,3,2023-12-30,01,quantile,0.1,38
2023-12-09,wk inc flu hosp,3,2023-12-30,01,quantile,0.15,45
2023-12-09,wk inc flu hosp,3,2023-12-30,01,quantile,0.2,51
2023-12-09,wk inc flu hosp,3,2023-12-30,01,quantile,0.25,56
2023-12-09,wk inc flu hosp,3,2023-12-30,01,quantile,0.3,61
2023-12-09,wk inc flu hosp,3,2023-12-30,01,quantile,0.35,66
2023-12-09,wk inc flu hosp,3,2023-12-30,01,quantile,0.4,71
2023-12-09,wk inc flu hosp,3,2023-12-30,01,quantile,0.45,76
2023-12-09,wk inc flu hosp,3,2023-12-30,01,quantile,0.5,81
2023-12-09,wk inc flu hosp,3,2023-12-30,01,quantile,0.55,86
2023-12-09,wk inc flu hosp,3,2023-12-30,01,quantile,0.6,91
2023-12-09,wk inc flu hosp,3,2023-12-30,01,quantile,0.65,97
2023-12-09,wk inc flu hosp,3,2023-12-30,01,quantile,0.7,104
2023-12-09,wk inc flu hosp,3,2023-12-30,01,quantile,0.75,113
2023-12-09,wk inc flu hosp,3,2023-12-30,01,quantile,0.8,122
2023-12-09,wk inc flu hosp,3,2023-12-30,01,quantile,0.85,135
2023-12-09,wk inc flu hosp,3,2023-12-30,01,quantile,0.9,152
2023-12-09,wk inc flu hosp,3,2023-12-30,01,quantile,0.95,187
2023-12-09,wk inc flu hosp,3,2023-12-30,01,quantile,0.975,224
2023-12-09,wk inc flu hosp,3,2023-12-30,01,quantile,0.99,291.00999999999976
2023-12-09,wk inc flu hosp,0,2023-12-09,02,quantile,0.01,1
2023-12-09,wk inc flu hosp,0,2023-12-09,02,quantile,0.025,2
2023-12-09,wk inc flu hosp,0,2023-12-09,02,quantile,0.05,2
2023-12-09,wk inc flu hosp,0,2023-12-09,02,quantile,0.1,3
2023-12-09,wk inc flu hosp,0,2023-12-09,02,quantile,0.15,4
2023-12-09,wk inc flu hosp,0,2023-12-09,02,quantile,0.2,4
2023-12-09,wk inc flu hosp,0,2023-12-09,02,quantile,0.25,5
2023-12-09,wk inc flu hosp,0,2023-12-09,02,quantile,0.3,5
2023-12-09,wk inc flu hosp,0,2023-12-09,02,quantile,0.35,6
2023-12-09,wk inc flu hosp,0,2023-12-09,02,quantile,0.4,6
2023-12-09,wk inc flu hosp,0,2023-12-09,02,quantile,0.45,7
2023-12-09,wk inc flu hosp,0,2023-12-09,02,quantile,0.5,7
2023-12-09,wk inc flu hosp,0,2023-12-09,02,quantile,0.55,8
2023-12-09,wk inc flu hosp,0,2023-12-09,02,quantile,0.6,8
2023-12-09,wk inc flu hosp,0,2023-12-09,02,quantile,0.65,9
2023-12-09,wk inc flu hosp,0,2023-12-09,02,quantile,0.7,9
2023-12-09,wk inc flu hosp,0,2023-12-09,02,quantile,0.75,10
2023-12-09,wk inc flu hosp,0,2023-12-09,02,quantile,0.8,11
2023-12-09,wk inc flu hosp,0,2023-12-09,02,quantile,0.85,12
2023-12-09,wk inc flu hosp,0,2023-12-09,02,quantile,0.9,13
2023-12-09,wk inc flu hosp,0,2023-12-09,02,quantile,0.95,15
2023-12-09,wk inc flu hosp,0,2023-12-09,02,quantile,0.975,17
2023-12-09,wk inc flu hosp,0,2023-12-09,02,quantile,0.99,20
2023-12-09,wk inc flu hosp,1,2023-12-16,02,quantile,0.01,0
2023-12-09,wk inc flu hosp,1,2023-12-16,02,quantile,0.025,0
2023-12-09,wk inc flu hosp,1,2023-12-16,02,quantile,0.05,1
2023-12-09,wk inc flu hosp,1,2023-12-16,02,quantile,0.1,1
2023-12-09,wk inc flu hosp,1,2023-12-16,02,quantile,0.15,2
2023-12-09,wk inc flu hosp,1,2023-12-16,02,quantile,0.2,2
2023-12-09,wk inc flu hosp,1,2023-12-16,02,quantile,0.25,2
2023-12-09,wk inc flu hosp,1,2023-12-16,02,quantile,0.3,3
2023-12-09,wk inc flu hosp,1,2023-12-16,02,quantile,0.35,3
2023-12-09,wk inc flu hosp,1,2023-12-16,02,quantile,0.4,4
