reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-03-16,wk inc flu hosp,0,2024-03-16,01,quantile,0.01,31.9
2024-03-16,wk inc flu hosp,0,2024-03-16,01,quantile,0.025,37.89
2024-03-16,wk inc flu hosp,0,2024-03-16,01,quantile,0.05,43.31
2024-03-16,wk inc flu hosp,0,2024-03-16,01,quantile,0.1,50.48
2024-03-16,wk inc flu hosp,0,2024-03-16,01,quantile,0.15,54.33
2024-03-16,wk inc flu hosp,0,2024-03-16,01,quantile,0.2,57.9
2024-03-16,wk inc flu hosp,0,2024-03-16,01,quantile,0.25,61.92
2024-03-16,wk inc flu hosp,0,2024-03-16,01,quantile,0.3,64.51
2024-03-16,wk inc flu hosp,0,2024-03-16,01,quantile,0.35,67.27
2024-03-16,wk inc flu hosp,0,2024-03-16,01,quantile,0.4,69.82
2024-03-16,wk inc flu hosp,0,2024-03-16,01,quantile,0.45,72.13
2024-03-16,wk inc flu hosp,0,2024-03-16,01,quantile,0.5,74.86
2024-03-16,wk inc flu hosp,0,2024-03-16,01,quantile,0.55,78.06
2024-03-16,wk inc flu hosp,0,2024-03-16,01,quantile,0.6,80.12
2024-03-16,wk inc flu hosp,0,2024-03-16,01,quantile,0.65,83.02
2024-03-16,wk inc flu hosp,0,2024-03-16,01,quantile,0.7,86.42
2024-03-16,wk inc flu hosp,0,2024-03-16,01,quantile,0.75,91.67
2024-03-16,wk inc flu hosp,0,2024-03-16,01,quantile,0.8,95.56
2024-03-16,wk inc flu hosp,0,2024-03-16,01,quantile,0.85,100.95
2024-03-16,wk inc flu hosp,0,2024-03-16,01,quantile,0.9,108.54
2024-03-16,wk inc flu hosp,0,2024-03-16,01,quantile,0.95,120.5
2024-03-16,wk inc flu hosp,0,2024-03-16,01,quantile,0.975,130.84
2024-03-16,wk inc flu hosp,0,2024-03-16,01,quantile,0.99,144.64
2024-03-16,wk inc flu hosp,1,2024-03-23,01,quantile,0.01,14.08
2024-03-16,wk inc flu hosp,1,2024-03-23,01,quantile,0.025,19.94
2024-03-16,wk inc flu hosp,1,2024-03-23,01,quantile,0.05,27.47
2024-03-16,wk inc flu hosp,1,2024-03-23,01,quantile,0.1,35.54
2024-03-16,wk inc flu hosp,1,2024-03-23,01,quantile,0.15,40.76
2024-03-16,wk inc flu hosp,1,2024-03-23,01,quantile,0.2,45.95
2024-03-16,wk inc flu hosp,1,2024-03-23,01,quantile,0.25,51.18
2024-03-16,wk inc flu hosp,1,2024-03-23,01,quantile,0.3,54.49
2024-03-16,wk inc flu hosp,1,2024-03-23,01,quantile,0.35,58.71
2024-03-16,wk inc flu hosp,1,2024-03-23,01,quantile,0.4,63.16
2024-03-16,wk inc flu hosp,1,2024-03-23,01,quantile,0.45,66.56
2024-03-16,wk inc flu hosp,1,2024-03-23,01,quantile,0.5,69.77
2024-03-16,wk inc flu hosp,1,2024-03-23,01,quantile,0.55,73.72
2024-03-16,wk inc flu hosp,1,2024-03-23,01,quantile,0.6,77.36
2024-03-16,wk inc flu hosp,1,2024-03-23,01,quantile,0.65,82.34
2024-03-16,wk inc flu hosp,1,2024-03-23,01,quantile,0.7,87.2
2024-03-16,wk inc flu hosp,1,2024-03-23,01,quantile,0.75,92.58
2024-03-16,wk inc flu hosp,1,2024-03-23,01,quantile,0.8,99.86
2024-03-16,wk inc flu hosp,1,2024-03-23,01,quantile,0.85,108.34
2024-03-16,wk inc flu hosp,1,2024-03-23,01,quantile,0.9,121.78
2024-03-16,wk inc flu hosp,1,2024-03-23,01,quantile,0.95,144.07
2024-03-16,wk inc flu hosp,1,2024-03-23,01,quantile,0.975,163.69
2024-03-16,wk inc flu hosp,1,2024-03-23,01,quantile,0.99,192.57
2024-03-16,wk inc flu hosp,2,2024-03-30,01,quantile,0.01,6.52
2024-03-16,wk inc flu hosp,2,2024-03-30,01,quantile,0.025,9.33
2024-03-16,wk inc flu hosp,2,2024-03-30,01,quantile,0.05,15.17
2024-03-16,wk inc flu hosp,2,2024-03-30,01,quantile,0.1,23.09
2024-03-16,wk inc flu hosp,2,2024-03-30,01,quantile,0.15,32.63
